TransactionID,AccountID,TransactionAmount,TransactionDate,Location,Channel
TX000039,AC00478,795.31,2023-10-12 17:07:40,Mesa,ATM
TX000040,AC00405,335.63,2023-01-24 17:17:20,Oklahoma City,Online
TX000041,AC00421,328.47,2023-07-31 18:39:50,San Antonio,ATM
TX000042,AC00480,34.02,2023-01-09 16:13:21,Philadelphia,Online
TX000043,AC00120,241.42,2023-04-20 18:57:43,Charlotte,Online
TX000044,AC00117,55.32,2023-04-12 16:03:37,Tucson,ATM
TX000045,AC00011,304.31,2023-07-26 16:52:28,Louisville,Branch
TX000046,AC00401,435.27,2023-10-04 17:49:29,Chicago,Branch
TX000047,AC00282,164.49,2023-12-13 16:01:38,Baltimore,Branch
TX000048,AC00439,510.24,2023-10-09 16:29:40,Oklahoma City,Online
TX000049,AC00296,626.9,2023-11-27 16:45:57,Denver,Online
TX000050,AC00471,22.01,2023-03-27 16:45:18,Sacramento,Online
TX000051,AC00159,425.34,2023-02-13 16:59:39,Kansas City,Online
TX000052,AC00482,424.56,2023-02-21 17:45:55,Omaha,Online
TX000053,AC00115,85.43,2023-06-07 16:45:34,Virginia Beach,Branch
TX000054,AC00055,169.5,2023-09-07 16:51:27,San Diego,Branch
TX000055,AC00419,104.63,2023-03-29 17:47:16,Omaha,ATM
TX000056,AC00374,316.95,2023-08-04 17:53:40,Mesa,Branch
TX000057,AC00271,60.54,2023-12-14 17:52:37,Columbus,Branch
TX000058,AC00456,292.56,2023-03-03 17:37:41,Dallas,Branch
TX000059,AC00143,386.52,2023-06-09 16:18:15,Indianapolis,Branch
TX000060,AC00427,112.07,2023-10-02 16:35:22,Kansas City,Branch
TX000061,AC00438,568.52,2023-10-06 18:44:37,Indianapolis,ATM
TX000062,AC00002,263.99,2023-05-16 16:07:30,Dallas,Branch
TX000063,AC00425,349.64,2023-11-07 16:48:23,Las Vegas,Online
TX000064,AC00325,601.4,2023-05-30 17:43:25,Philadelphia,Branch
TX000065,AC00434,5.77,2023-11-02 16:01:40,Charlotte,Online
TX000066,AC00242,201.33,2023-03-29 17:00:31,Nashville,Branch
TX000067,AC00319,298.42,2023-04-25 16:11:24,Indianapolis,Branch
TX000068,AC00460,521.06,2023-04-18 18:40:47,Albuquerque,Branch
TX000069,AC00461,117.28,2023-02-09 16:34:53,Austin,Online
TX000070,AC00395,189.12,2023-11-13 16:42:28,Indianapolis,Branch
TX000071,AC00217,133.55,2023-07-18 16:12:00,Atlanta,ATM
TX000072,AC00053,143.21,2023-01-13 17:00:16,Dallas,Online
TX000073,AC00282,24.77,2023-07-04 18:20:33,Boston,ATM
TX000074,AC00110,233.92,2023-10-20 16:54:28,Jacksonville,Online
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Indianapolis,Branch
TX000076,AC00239,232.12,2023-12-28 17:31:03,Omaha,ATM
TX000077,AC00007,162.63,2023-06-12 17:53:52,Kansas City,Online
TX000078,AC00022,91.53,2023-03-13 16:32:12,Milwaukee,Branch
TX000079,AC00464,120.29,2023-12-18 18:46:27,Miami,Branch
TX000080,AC00014,174.25,2023-07-17 18:54:31,Seattle,Online
TX000081,AC00406,183.71,2023-06-19 18:22:10,Denver,ATM
TX000082,AC00445,345.39,2023-10-23 17:13:57,Phoenix,Online
TX000083,AC00236,922.55,2023-01-23 16:32:48,Detroit,ATM
TX000084,AC00220,259.91,2023-11-06 16:34:10,Denver,Online
TX000085,AC00140,154.71,2023-07-03 16:40:24,San Diego,Online
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Austin,Online
TX000087,AC00303,24.56,2023-10-20 17:27:35,Mesa,Branch
TX000088,AC00373,568.07,2023-08-28 17:03:53,Washington,ATM
TX000089,AC00438,9.61,2023-06-22 18:37:29,San Diego,Online
TX000090,AC00437,392.96,2023-11-20 16:28:09,Kansas City,Online
TX000091,AC00106,716.93,2023-09-14 16:49:33,Milwaukee,Online
TX000092,AC00310,223.85,2023-10-02 16:36:10,Kansas City,ATM
TX000093,AC00149,230.66,2023-03-27 18:16:04,Houston,Branch
TX000094,AC00373,442.12,2023-12-21 16:37:03,Los Angeles,Online
TX000095,AC00425,644.17,2023-03-02 16:05:09,San Antonio,ATM
TX000096,AC00010,508.68,2023-06-26 16:16:50,Mesa,Branch
TX000097,AC00348,858.63,2023-04-18 17:27:23,San Francisco,Branch
TX000098,AC00011,25.36,2023-07-17 17:08:24,Louisville,ATM
TX000099,AC00453,147.62,2023-09-01 17:26:02,Charlotte,Branch
TX000100,AC00178,115.02,2023-09-11 16:19:04,San Antonio,Branch
TX000101,AC00265,383.37,2023-01-24 17:23:56,Fort Worth,Branch
TX000102,AC00018,98.54,2023-08-11 16:18:46,El Paso,Online
TX000103,AC00075,83.24,2023-10-16 18:35:11,Fort Worth,Branch
TX000104,AC00464,196.16,2023-02-24 16:29:23,Virginia Beach,Branch
TX000105,AC00170,129.94,2023-01-02 16:36:02,Las Vegas,ATM
TX000106,AC00235,306.9,2023-11-30 16:31:03,Colorado Springs,Online
TX000107,AC00013,114.98,2023-11-01 16:52:01,Seattle,Online
TX000108,AC00397,756.59,2023-03-06 16:47:02,Sacramento,Branch
TX000109,AC00423,503.76,2023-11-27 18:32:49,Los Angeles,Online
TX000110,AC00154,143.03,2023-07-31 16:37:46,San Antonio,ATM
TX000111,AC00068,1045.22,2023-11-22 16:13:39,Columbus,ATM
TX000112,AC00318,245.54,2023-03-21 16:29:31,New York,ATM
TX000113,AC00396,254.37,2023-04-20 18:26:50,Dallas,Online
TX000114,AC00121,213.76,2023-03-01 17:52:14,Dallas,ATM
TX000115,AC00336,327.86,2023-02-10 16:52:48,Fresno,Online
TX000116,AC00468,2.5,2023-07-21 16:43:11,San Diego,Online
TX000117,AC00282,300.08,2023-10-09 17:02:43,Austin,Online
TX000118,AC00498,56.98,2024-01-01 16:34:10,Oklahoma City,ATM
TX000119,AC00085,407.65,2023-07-07 16:11:38,Boston,Online
TX000120,AC00092,115.83,2023-05-22 17:09:52,Fresno,Branch
TX000121,AC00295,53.57,2023-08-16 16:17:12,Houston,ATM
TX000122,AC00358,63.34,2023-11-17 16:02:02,Detroit,Online
TX000123,AC00311,317.87,2023-05-22 17:29:35,Detroit,Online
TX000124,AC00066,331.65,2023-08-25 17:26:07,Portland,Online
TX000125,AC00340,5.04,2023-11-27 16:38:34,Washington,ATM
TX000126,AC00284,214.54,2023-08-04 17:46:44,Detroit,Online
TX000127,AC00208,598.81,2023-09-04 16:48:35,Philadelphia,Branch
TX000128,AC00176,841.28,2023-08-09 17:34:26,Tucson,Online
TX000129,AC00053,38.15,2023-09-07 16:07:40,Mesa,Online
TX000130,AC00320,1036.66,2023-07-11 16:39:53,San Antonio,Branch
TX000131,AC00382,124.72,2023-07-03 17:14:07,Oklahoma City,Branch
TX000132,AC00384,302.45,2023-09-25 17:13:36,San Antonio,Branch
TX000133,AC00203,208.04,2023-11-20 17:10:02,Louisville,Online
TX000134,AC00498,5.77,2023-11-17 17:27:07,Los Angeles,Branch
TX000135,AC00349,381.33,2023-08-21 16:46:05,Albuquerque,ATM
TX000136,AC00177,16.16,2023-10-16 16:59:36,Milwaukee,ATM
TX000137,AC00284,486.08,2023-06-20 17:21:50,Oklahoma City,Online
TX000138,AC00272,336.39,2023-01-16 16:53:38,San Antonio,Branch
TX000139,AC00405,997.43,2023-11-22 16:07:19,Seattle,Online
TX000140,AC00385,234.57,2023-09-01 16:09:08,Chicago,Online
TX000141,AC00403,6.0,2023-10-23 18:38:15,Chicago,Online
TX000142,AC00114,1049.92,2023-10-23 16:50:33,Detroit,ATM
TX000143,AC00163,227.14,2023-07-03 17:42:08,Charlotte,ATM
TX000144,AC00108,233.74,2023-10-24 16:41:00,Oklahoma City,Online
TX000145,AC00397,113.02,2023-09-25 16:54:22,Jacksonville,Branch
TX000146,AC00434,45.85,2023-02-16 17:57:10,Los Angeles,ATM
TX000147,AC00385,973.39,2023-08-30 17:23:20,Sacramento,Branch
TX000148,AC00161,514.95,2023-04-13 18:37:48,New York,Online
TX000149,AC00333,415.5,2023-07-28 16:29:23,Memphis,ATM
TX000150,AC00279,265.76,2023-02-06 17:48:55,Philadelphia,Online
TX000151,AC00072,69.4,2023-07-24 18:08:43,Virginia Beach,Online
TX000152,AC00242,332.93,2023-11-20 16:29:48,Albuquerque,Branch
TX000153,AC00303,267.9,2023-10-09 16:52:47,San Antonio,Online
TX000154,AC00442,496.03,2023-11-03 16:45:52,San Francisco,Branch
TX000155,AC00087,376.26,2023-02-15 16:41:11,Tucson,ATM
TX000156,AC00174,83.02,2023-09-04 17:59:51,Seattle,Online
TX000157,AC00421,93.26,2023-07-27 16:22:52,New York,Online
TX000158,AC00111,803.37,2023-04-17 16:08:34,Memphis,Branch
TX000159,AC00275,35.76,2023-09-19 17:38:18,Charlotte,Branch
TX000160,AC00492,28.53,2023-05-31 16:37:39,Washington,Online
TX000161,AC00380,139.53,2023-10-09 17:20:09,Louisville,Online
TX000162,AC00227,307.57,2023-01-09 16:12:01,Detroit,Branch
TX000163,AC00257,60.65,2023-05-26 18:15:08,Tucson,Branch
TX000164,AC00062,74.86,2023-08-14 17:43:17,Nashville,Branch
TX000165,AC00383,117.97,2023-11-24 18:51:32,Kansas City,Branch
TX000166,AC00182,231.91,2023-01-31 18:31:22,Memphis,ATM
TX000167,AC00478,126.21,2023-02-14 16:07:01,Baltimore,Branch
TX000168,AC00332,506.28,2023-05-02 17:03:29,Chicago,Online
TX000169,AC00202,304.35,2023-12-04 17:07:34,Houston,Branch
TX000170,AC00331,281.85,2023-05-16 17:26:37,Detroit,ATM
TX000171,AC00474,777.88,2023-03-20 16:58:12,Houston,Branch
TX000172,AC00268,119.18,2023-08-25 18:01:38,Los Angeles,Branch
TX000173,AC00247,177.19,2023-05-15 17:25:28,Chicago,Online
TX000174,AC00298,260.88,2023-05-29 16:50:10,Denver,Branch
TX000175,AC00106,169.47,2023-03-22 16:10:14,Chicago,Online
TX000176,AC00035,73.23,2023-05-19 16:52:53,Portland,Branch
TX000177,AC00363,1362.55,2023-02-10 18:07:07,El Paso,ATM
TX000178,AC00273,792.57,2023-05-22 16:22:36,Baltimore,ATM
TX000179,AC00156,237.06,2023-12-18 16:47:17,Phoenix,Online
TX000180,AC00010,34.17,2023-11-21 16:57:43,Philadelphia,Online
TX000181,AC00036,740.25,2023-07-19 17:03:58,Philadelphia,Online
TX000182,AC00149,453.54,2023-04-19 16:36:03,Albuquerque,ATM
TX000183,AC00225,300.47,2023-11-13 16:11:52,Jacksonville,Branch
TX000184,AC00077,110.93,2023-04-07 16:38:15,Virginia Beach,Branch
TX000185,AC00440,201.69,2023-01-03 16:46:36,Las Vegas,ATM
TX000186,AC00321,399.21,2023-01-30 16:15:49,Portland,ATM
TX000187,AC00099,1041.88,2023-09-06 16:44:02,Jacksonville,Online
TX000188,AC00258,630.36,2023-03-02 16:11:53,Mesa,ATM
TX000189,AC00132,10.94,2023-10-23 17:24:07,Philadelphia,ATM
TX000190,AC00113,215.9,2023-01-04 16:02:09,Los Angeles,ATM
TX000191,AC00396,1422.55,2023-07-10 17:49:18,Washington,Branch
TX000192,AC00099,226.37,2023-09-18 17:07:08,Louisville,Branch
TX000193,AC00265,444.89,2023-09-11 16:27:39,Las Vegas,Branch
TX000194,AC00047,280.57,2023-01-27 17:35:05,Virginia Beach,Online
TX000195,AC00005,488.54,2023-07-03 17:47:49,Jacksonville,Branch
TX000196,AC00363,3.3,2023-03-27 16:42:16,Los Angeles,Branch
TX000197,AC00426,199.39,2023-08-21 16:16:22,Colorado Springs,Branch
TX000198,AC00107,20.36,2023-07-24 17:02:18,Tucson,Branch
TX000199,AC00237,113.64,2023-10-24 17:09:41,Detroit,Online
TX000200,AC00358,493.11,2023-07-31 16:25:26,Colorado Springs,Branch
TX000201,AC00113,307.41,2023-06-12 17:32:52,Los Angeles,ATM
TX000202,AC00010,11.18,2023-11-30 16:52:42,Atlanta,Online
TX000203,AC00499,313.82,2023-11-15 18:57:38,Tucson,Branch
TX000204,AC00380,51.0,2023-01-30 16:00:38,Seattle,Branch
TX000205,AC00452,140.98,2023-05-25 16:34:22,Memphis,Branch
TX000206,AC00020,288.04,2023-08-24 16:47:21,Denver,ATM
TX000207,AC00181,800.55,2023-05-04 16:21:31,Oklahoma City,ATM
TX000208,AC00370,485.54,2023-02-06 17:46:59,Houston,ATM
TX000209,AC00453,521.15,2023-02-17 18:16:05,Kansas City,ATM
TX000210,AC00339,321.79,2023-08-07 17:30:33,Raleigh,ATM
TX000211,AC00249,304.93,2023-02-24 16:23:22,Portland,ATM
TX000212,AC00479,432.08,2023-07-31 16:04:55,El Paso,ATM
TX000213,AC00301,694.2,2023-12-07 16:20:08,Milwaukee,ATM
TX000214,AC00380,116.86,2023-03-20 18:28:48,Louisville,ATM
TX000215,AC00130,386.81,2023-03-03 18:02:52,Detroit,Online
TX000216,AC00006,74.88,2023-05-24 16:25:50,Atlanta,ATM
TX000217,AC00096,195.76,2023-05-22 16:17:19,Philadelphia,Branch
TX000218,AC00108,134.7,2023-08-21 16:03:18,Fort Worth,ATM
TX000219,AC00070,890.24,2023-07-07 18:03:43,Las Vegas,Online
TX000220,AC00417,361.27,2023-01-06 17:01:53,Omaha,ATM
TX000221,AC00391,131.56,2023-10-19 16:42:37,Charlotte,Branch
TX000222,AC00414,485.51,2023-11-28 16:49:27,Milwaukee,Online
TX000223,AC00004,547.87,2023-07-10 17:15:27,Columbus,ATM
TX000224,AC00047,457.3,2023-06-26 18:25:21,Virginia Beach,Online
TX000225,AC00198,506.24,2023-01-13 16:44:26,Chicago,ATM
TX000226,AC00314,486.59,2023-12-19 16:55:17,Indianapolis,Branch
TX000227,AC00212,163.68,2023-09-28 16:20:57,San Diego,Branch
TX000228,AC00115,581.65,2023-01-09 16:54:58,Boston,ATM
TX000229,AC00055,52.01,2023-11-07 16:46:04,Mesa,ATM
TX000230,AC00427,630.24,2023-11-29 18:10:30,Boston,ATM
TX000231,AC00401,523.74,2023-11-02 16:36:37,Oklahoma City,ATM
TX000232,AC00430,705.6,2023-02-20 18:41:43,Phoenix,Branch
TX000233,AC00299,217.5,2023-10-23 18:54:48,Denver,Branch
TX000234,AC00345,91.48,2023-01-23 16:50:31,Fort Worth,ATM
TX000235,AC00430,5.25,2023-11-13 18:26:24,San Jose,ATM
TX000236,AC00175,54.03,2023-09-19 17:16:46,Milwaukee,ATM
TX000237,AC00177,736.73,2023-11-27 16:05:27,Memphis,Branch
TX000238,AC00225,368.91,2023-03-10 17:49:57,Virginia Beach,Branch
TX000239,AC00394,33.06,2023-01-17 16:03:41,Fort Worth,Online
TX000240,AC00026,66.5,2023-05-04 16:44:56,Louisville,Online
TX000241,AC00076,177.08,2023-01-06 17:16:44,Las Vegas,Online
TX000242,AC00215,588.54,2023-02-06 17:57:28,Portland,Branch
TX000243,AC00202,173.5,2023-10-23 17:16:20,Nashville,ATM
TX000244,AC00400,78.33,2023-07-31 16:13:12,Memphis,Online
TX000245,AC00004,40.66,2024-01-01 16:08:49,Louisville,Branch
TX000246,AC00260,97.22,2023-02-20 17:30:19,Atlanta,Branch
TX000247,AC00415,34.07,2023-11-06 17:22:58,Philadelphia,Branch
TX000248,AC00337,492.06,2023-10-19 16:14:15,Fresno,Online
TX000249,AC00253,842.01,2023-09-12 16:43:27,Virginia Beach,Online
TX000250,AC00126,73.55,2023-01-09 16:09:48,Atlanta,ATM
TX000251,AC00304,760.53,2023-09-04 18:13:25,Phoenix,Online
TX000252,AC00470,273.08,2023-01-30 16:09:08,Houston,Branch
TX000253,AC00041,371.69,2023-12-22 16:27:49,San Francisco,Branch
TX000254,AC00442,218.96,2023-08-30 16:11:47,Seattle,ATM
TX000255,AC00430,227.39,2023-12-25 16:58:19,Atlanta,Online
TX000256,AC00258,237.99,2023-05-08 16:45:11,Kansas City,Branch
TX000257,AC00073,186.6,2023-07-04 16:27:23,Washington,Online
TX000258,AC00430,341.15,2023-02-13 17:18:15,San Jose,Online
TX000259,AC00363,434.58,2023-09-06 16:28:38,Memphis,ATM
TX000260,AC00307,312.88,2023-05-26 18:12:50,Portland,Branch
TX000261,AC00085,75.15,2023-09-18 17:31:23,Boston,ATM
TX000262,AC00448,23.3,2023-08-14 18:13:38,Los Angeles,ATM
TX000263,AC00194,47.38,2023-02-08 18:18:07,Seattle,Online
TX000264,AC00319,512.81,2023-07-19 16:57:01,Sacramento,Branch
TX000265,AC00366,488.15,2023-07-31 16:01:00,Louisville,Branch
TX000266,AC00338,12.82,2023-04-05 18:37:10,Fort Worth,ATM
TX000267,AC00178,66.9,2023-04-17 16:50:45,Charlotte,Online
TX000268,AC00424,535.91,2023-07-07 16:38:12,Las Vegas,Online
TX000269,AC00147,270.72,2023-07-03 18:01:00,Washington,Online
TX000270,AC00171,97.98,2023-02-06 16:09:48,Denver,Branch
TX000271,AC00023,196.08,2023-08-25 16:52:28,San Francisco,Online
TX000272,AC00263,251.18,2023-06-01 16:51:11,San Jose,ATM
TX000273,AC00423,44.52,2023-03-28 18:30:25,El Paso,Online
TX000274,AC00455,178.87,2023-05-23 16:03:54,Baltimore,Online
TX000275,AC00454,1176.28,2023-12-20 16:08:02,Kansas City,ATM
TX000276,AC00055,386.68,2023-10-31 16:48:01,New York,Branch
TX000277,AC00403,167.14,2023-04-24 18:33:29,Denver,Online
TX000278,AC00220,345.22,2023-09-05 16:55:47,Fresno,Branch
TX000279,AC00009,74.85,2023-12-25 17:19:08,Raleigh,ATM
TX000280,AC00445,671.73,2023-10-16 16:15:54,Washington,Branch
TX000281,AC00133,255.04,2023-11-23 16:15:59,Seattle,ATM
TX000282,AC00362,45.77,2023-02-09 17:50:23,Philadelphia,Online
TX000283,AC00026,329.69,2023-01-09 16:54:30,San Antonio,Online
TX000284,AC00387,362.04,2023-07-10 16:37:11,Philadelphia,Branch
TX000285,AC00451,11.92,2023-10-09 17:48:55,San Diego,Branch
TX000286,AC00033,47.42,2023-12-19 16:46:08,San Diego,ATM
TX000287,AC00087,35.99,2023-01-19 16:14:12,Miami,Branch
TX000288,AC00159,151.19,2023-05-05 16:04:36,New York,Branch
TX000289,AC00177,242.62,2023-07-10 16:40:15,San Francisco,Online
TX000290,AC00093,48.72,2023-09-29 18:54:28,Virginia Beach,Branch
TX000291,AC00427,43.46,2023-07-21 17:02:42,Boston,ATM
TX000292,AC00284,1036.21,2023-07-21 18:54:14,Omaha,Online
TX000293,AC00189,443.79,2023-10-09 18:28:04,Las Vegas,ATM
TX000294,AC00495,365.14,2023-12-01 18:46:28,Dallas,Online
TX000295,AC00148,757.41,2023-05-05 16:31:53,Los Angeles,ATM
TX000296,AC00272,20.54,2023-08-21 18:09:24,Fort Worth,Branch
TX000297,AC00381,475.36,2023-10-02 16:03:09,Phoenix,ATM
TX000298,AC00110,34.74,2023-06-26 16:40:21,San Francisco,ATM
TX000299,AC00495,689.54,2023-03-06 16:46:57,Oklahoma City,Branch
TX000300,AC00035,211.18,2023-10-16 16:09:47,Washington,ATM
TX000301,AC00119,211.36,2023-11-21 16:23:41,Fort Worth,Branch
TX000302,AC00488,744.41,2023-07-31 16:35:59,Houston,Online
TX000303,AC00466,61.43,2023-06-29 16:16:37,Phoenix,Online
TX000304,AC00489,167.44,2023-09-25 16:11:18,Mesa,Branch
TX000305,AC00306,361.46,2023-04-07 17:23:05,Nashville,Online
TX000306,AC00431,378.85,2023-06-16 17:21:15,Virginia Beach,Branch
TX000307,AC00233,241.11,2023-06-16 16:41:23,Columbus,Branch
TX000308,AC00389,131.93,2023-09-11 17:31:10,Fort Worth,Branch
TX000309,AC00067,20.28,2023-07-19 17:42:38,Oklahoma City,Online
TX000310,AC00300,415.88,2023-04-27 17:30:16,San Diego,Branch
TX000311,AC00386,49.99,2023-02-09 17:53:59,Omaha,ATM
TX000312,AC00285,1221.65,2023-09-27 16:55:35,Denver,Online
TX000313,AC00219,100.66,2023-06-16 18:58:50,Dallas,Branch
TX000314,AC00445,485.54,2023-12-08 16:47:48,Louisville,Online
TX000315,AC00371,321.15,2023-02-10 17:06:40,Los Angeles,Branch
TX000316,AC00164,711.3,2023-06-26 18:57:37,San Jose,Branch
TX000317,AC00200,12.23,2023-10-12 16:02:13,Houston,ATM
TX000318,AC00310,350.94,2023-10-30 17:17:51,Colorado Springs,ATM
TX000319,AC00106,301.85,2023-04-18 17:43:50,Columbus,Online
TX000320,AC00444,29.34,2023-03-09 17:37:08,Louisville,Online
TX000321,AC00441,231.71,2023-04-24 17:01:08,Raleigh,Branch
TX000322,AC00300,179.43,2023-08-11 18:20:48,Oklahoma City,ATM
TX000323,AC00194,36.71,2023-01-30 17:11:53,Jacksonville,Branch
TX000324,AC00248,138.12,2023-04-11 17:18:50,Los Angeles,Branch
TX000325,AC00286,233.24,2023-04-17 16:56:06,Louisville,ATM
TX000326,AC00049,609.14,2023-11-23 16:09:39,Tucson,ATM
TX000327,AC00471,436.64,2023-12-25 17:46:24,Los Angeles,Branch
TX000328,AC00434,870.43,2023-05-31 16:54:20,Los Angeles,Branch
TX000329,AC00264,354.4,2023-11-06 17:23:08,Chicago,ATM
TX000330,AC00316,22.63,2023-02-20 17:28:15,Kansas City,Online
TX000331,AC00087,182.19,2023-06-19 16:36:25,Mesa,Branch
TX000332,AC00140,126.81,2023-10-30 16:58:01,Philadelphia,Branch
TX000333,AC00418,288.17,2023-09-08 16:48:51,Virginia Beach,Online
TX000334,AC00187,118.77,2023-10-02 17:44:05,Atlanta,Branch
TX000335,AC00077,651.82,2023-04-14 17:59:43,Indianapolis,ATM
TX000336,AC00141,66.65,2023-10-17 16:58:59,Detroit,ATM
TX000337,AC00332,98.53,2023-01-16 16:31:48,Denver,Branch
TX000338,AC00439,138.95,2023-06-02 16:48:43,Washington,Online
TX000339,AC00055,33.89,2023-11-10 16:10:34,Nashville,Branch
TX000340,AC00299,23.71,2023-09-18 16:04:52,Atlanta,Branch
TX000341,AC00107,1830.0,2023-03-01 16:31:58,San Antonio,Online
TX000342,AC00171,26.06,2023-12-21 17:01:24,San Diego,ATM
TX000343,AC00493,17.07,2023-05-01 17:17:12,Los Angeles,Branch
TX000344,AC00232,703.89,2023-09-22 16:42:15,San Antonio,Online
TX000345,AC00156,1271.9,2023-08-28 16:43:15,Houston,ATM
TX000346,AC00442,26.55,2023-09-20 17:25:26,Houston,ATM
TX000347,AC00375,147.4,2023-06-09 16:10:51,San Jose,Branch
TX000348,AC00034,202.11,2023-03-30 16:09:26,Memphis,ATM
TX000349,AC00376,308.42,2023-05-02 16:14:22,Nashville,Branch
TX000350,AC00029,11.18,2023-02-27 16:39:28,Miami,ATM
TX000351,AC00040,294.15,2023-02-02 16:19:31,Fresno,Online
TX000352,AC00482,29.58,2023-10-30 17:54:19,Colorado Springs,Branch
TX000353,AC00365,139.45,2023-07-10 16:43:05,Boston,Online
TX000354,AC00340,432.63,2023-06-30 17:10:38,Colorado Springs,ATM
TX000355,AC00349,131.43,2023-02-01 18:47:20,Charlotte,Online
TX000356,AC00374,516.72,2023-10-09 18:43:04,Mesa,ATM
TX000357,AC00261,121.82,2023-02-07 17:20:24,Colorado Springs,Online
TX000358,AC00459,374.5,2023-07-24 16:45:31,San Francisco,Branch
TX000359,AC00331,166.13,2023-09-06 17:01:50,Omaha,ATM
TX000360,AC00165,626.9,2023-10-10 16:42:09,Chicago,ATM
TX000361,AC00397,466.85,2023-07-17 16:57:14,Austin,Branch
TX000362,AC00192,788.84,2023-05-17 17:00:34,Phoenix,Online
TX000363,AC00063,873.65,2023-03-23 16:38:40,Oklahoma City,Online
TX000364,AC00478,525.28,2023-04-03 16:37:24,Colorado Springs,ATM
TX000365,AC00272,110.17,2023-09-07 16:08:12,Raleigh,ATM
TX000366,AC00092,632.69,2023-09-12 16:28:38,Denver,ATM
TX000367,AC00332,124.35,2023-12-08 16:39:15,Oklahoma City,ATM
TX000368,AC00087,43.85,2023-03-13 16:25:34,Fresno,ATM
TX000369,AC00327,283.81,2023-03-09 16:31:54,San Diego,Branch
TX000370,AC00269,168.53,2023-06-14 16:30:42,San Francisco,ATM
TX000371,AC00177,218.59,2023-11-27 16:43:28,Denver,Branch
TX000372,AC00322,132.84,2023-08-21 16:28:17,Oklahoma City,ATM
TX000373,AC00069,157.37,2023-11-15 16:54:44,Dallas,Branch
TX000374,AC00264,144.77,2023-07-17 16:48:23,Albuquerque,Online
TX000375,AC00014,643.22,2023-05-03 17:04:32,Atlanta,ATM
TX000376,AC00316,1392.54,2023-11-20 16:51:14,El Paso,Branch
TX000377,AC00131,208.07,2023-07-10 16:51:12,Oklahoma City,Online
TX000378,AC00232,94.3,2023-12-25 17:53:56,Phoenix,Branch
TX000379,AC00410,295.5,2023-11-23 18:00:00,Mesa,ATM
TX000380,AC00488,30.23,2023-11-06 17:53:25,Austin,ATM
TX000381,AC00329,112.05,2023-10-26 16:16:12,Phoenix,ATM
TX000382,AC00021,180.24,2023-07-03 17:03:48,Phoenix,Branch
