name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;potential;value_euro;wage_euro;preferred_foot
Kepa;Kepa Arrizabalaga;10/3/1994;24;185.42;84.8;GK;Spain;84;90;31000000;92000;Right
H. Ziyech;Hakim Ziyech;3/19/1993;25;154.94;64.9;CAM,RW;Morocco;84;86;38000000;31000;Left
Fabinho;Fábio Henrique Tavares;10/23/1993;25;187.96;78;CDM;Brazil;84;88;34000000;120000;Right
A. Martial;Anthony Martial;12/5/1995;23;182.88;76.2;LW,ST,LM;France;84;90;42500000;165000;Right
T. Werner;Timo Werner;3/6/1996;23;154.94;74.8;ST;Germany;84;87;40000000;77000;Right
N. Süle;Niklas Süle;9/3/1995;23;195.58;97.1;CB;Germany;84;90;36500000;84000;Right
Bruno Fernandes;Bruno Miguel Borges Fernandes;9/8/1994;24;152.4;68.9;CAM,CM;Portugal;84;88;40500000;22000;Right
Alex Telles;Alex Nicolao Telles;12/15/1992;26;154.94;71.2;LB;Brazil;84;86;31000000;22000;Left
J. Giménez;José María Giménez de Vargas;1/20/1995;24;185.42;79.8;CB;Uruguay;84;88;34000000;63000;Right
N. Fekir;Nabil Fekir;7/18/1993;25;172.72;74.8;CAM;France;84;88;40500000;84000;Left
D. Sánchez;Davinson Sánchez;6/12/1996;22;187.96;78.9;CB;Colombia;84;88;34000000;105000;Right
Marco Asensio;Marco Asensio Willemsen;1/21/1996;23;182.88;76.2;LW,RW;Spain;84;89;41500000;195000;Left
O. Dembélé;Ousmane Dembélé;5/15/1997;21;152.4;67.1;RW,LW;France;84;92;46000000;170000;Left
Iniesta;Andrés Iniesta Luján;5/11/1984;34;170.18;68;CM,LM;Spain;85;85;18500000;19000;Right
Z. Ibrahimović;Zlatan Ibrahimović;10/3/1981;37;195.58;94.8;ST;Sweden;85;85;14000000;15000;Right
Jorginho;Luiz Frello Filho Jorge;12/20/1991;27;154.94;67.1;CM;Italy;83;84;30000000;140000;Right
E. Višća;Edin Višća;2/17/1990;29;172.72;63;RM,RW;Bosnia Herzegovina;83;83;26000000;44000;Right
S. Gnabry;Serge Gnabry;7/14/1995;23;175.26;74.8;LM,RM,CAM,LW;Germany;83;87;34000000;85000;Right
M. Kovačić;Mateo Kovačić;5/6/1994;24;175.26;78;CM;Croatia;83;89;35000000;165000;Right
William Carvalho;William Silva de Carvalho;4/7/1992;26;187.96;83;CDM,CM;Portugal;83;86;27000000;35000;Right
Felipe;Felipe Augusto de Almeida Monteiro;5/16/1989;29;190.5;86.2;CB;Brazil;83;84;22500000;22000;Right
Y. Carrasco;Yannick Ferreira Carrasco;9/4/1993;25;154.94;73;LM;Belgium;83;86;33000000;20000;Right
Lucas Vázquez;Lucas Vázquez Iglesias;7/1/1991;27;172.72;69.9;RW,RM;Spain;83;83;27000000;205000;Right
Q. Promes;Quincy Anton Promes;1/4/1992;27;175.26;72.1;LM,ST,RM;Netherlands;83;83;28000000;28000;Right
L. Goretzka;Leon Goretzka;2/6/1995;24;187.96;78.9;CM,CAM,CDM;Germany;83;88;34000000;85000;Right
A. Rabiot;Adrien Rabiot;4/3/1995;23;193.04;79.8;CM,CDM;France;83;87;33000000;91000;Left
A. Romagnoli;Alessio Romagnoli;1/12/1995;24;187.96;78;CB;Italy;83;90;31000000;92000;Left
João Cancelo;João Pedro Cavaco Cancelo;5/27/1994;24;182.88;73.9;RB;Portugal;83;89;29500000;105000;Right
Anderson Talisca;Anderson Souza Conceição;2/1/1994;25;190.5;79.8;CAM;Brazil;83;87;34000000;27000;Left
K. Coman;Kingsley Coman;6/13/1996;22;152.4;71.2;LM,RM,LW,RW;France;83;88;34500000;85000;Right
T. Lemar;Thomas Lemar;11/12/1995;23;170.18;62.1;LM,CAM,RM;France;83;89;35500000;64000;Left
J. Tah;Jonathan Tah;2/11/1996;23;195.58;97.1;CB;Germany;82;87;25000000;61000;Right
M. Politano;Matteo Politano;8/3/1993;25;170.18;67.1;RM,LM,ST;Italy;82;85;28000000;61000;Left
C. Lenglet;Clément Lenglet;6/17/1995;23;185.42;81.2;CB;France;82;88;26000000;135000;Left
Pau López;Pau López Sabata;12/13/1994;24;187.96;77.1;GK;Spain;82;87;21500000;21000;Left
H. Lozano;Hirving Rodrigo Lozano Bahena;7/30/1995;23;175.26;69.9;RW,LW;Mexico;82;87;29500000;24000;Right
Malcom;Malcom Filipe Silva de Oliveira;2/26/1997;22;172.72;73.9;RW;Brazil;82;89;31500000;140000;Left
L. Torreira;Lucas Torreira Di Pascua;2/11/1996;23;167.64;64;CDM,CM;Uruguay;82;87;25000000;98000;Right
Gonçalo Guedes;Gonçalo Manuel Ganchinho Guedes;11/29/1996;22;152.4;68;LM,ST,RM,LW;Portugal;82;86;29000000;36000;Right
G. Lo Celso;Giovani Lo Celso;4/9/1996;22;175.26;69.9;CM,CAM,CDM;Argentina;82;88;30000000;83000;Left
Fabián;Fabián Ruiz Peña;4/3/1996;22;187.96;69.9;CM,CDM,CAM;Spain;82;90;32000000;70000;Left
F. de Jong;Frenkie de Jong;5/12/1997;21;154.94;69.9;CM,CDM,CB;Netherlands;82;89;31000000;20000;Right
Raphaelito Anjos;Raphael William Anjos Rochedo;2/29/1988;31;190.5;84.8;GK;Brazil;82;82;14000000;32000;Right
Juiano Mestres;Juan Everton Mestres de Mesquita;2/29/1984;35;154.94;82.1;CB,CDM;Brazil;82;82;6500000;39000;Right
Rosberto Dourado;Rosberto J. Dourado Santos;2/29/1988;31;175.26;69.9;CDM,CM;Brazil;82;82;16500000;46000;Right
Arthur;Arthur Henrique Ramos Oliveira Melo;8/12/1996;22;170.18;73;CM;Brazil;82;90;32500000;125000;Right
Rodri;Rodrigo Hernández Cascante;6/22/1996;22;190.5;82.1;CM,CDM;Spain;82;87;29000000;59000;Right
M. Parolo;Marco Parolo;1/25/1985;34;182.88;74.8;CDM,CM;Italy;82;82;9000000;59000;Right
M. Kruse;Max Kruse;3/19/1988;30;154.94;76.2;CF,ST,CAM;Germany;82;82;21500000;45000;Left
J. Henderson;Jordan Brian Henderson;6/17/1990;28;182.88;79.8;CDM,CM;England;82;82;18000000;125000;Right
N. Gaitán;Osvaldo Nicolás Fabián Gaitán;2/23/1988;31;172.72;66.2;CAM;Argentina;82;82;21000000;22000;Left
M. Arnautović;Marko Arnautović;4/19/1989;29;193.04;83;ST;Austria;82;82;22000000;120000;Right
S. Giovinco;Sebastian Giovinco;1/26/1987;32;162.56;60.8;CF,ST;Italy;82;82;20000000;61000;Right
G. Sigurðsson;Gylfi Þór Sigurðsson;9/8/1989;29;185.42;77.1;CAM;Iceland;82;82;22500000;125000;Right
Giuliano;Giuliano Victor de Paula;5/31/1990;28;172.72;68;CAM,RW;Brazil;82;82;22500000;59000;Right
P. Gulácsi;Péter Gulácsi;5/6/1990;28;193.04;86.2;GK;Hungary;82;83;18000000;53000;Right
Luiz Gustavo;Luiz Gustavo Dias;7/23/1987;31;187.96;78;CDM,CB;Brazil;82;82;16500000;57000;Left
K. Trippier;Kieran Trippier;9/19/1990;28;152.4;72.1;RB,RWB;England;82;82;18500000;99000;Right
A. Ramsey;Aaron Ramsey;12/26/1990;28;182.88;76.2;CM,CDM,CAM;Wales;82;82;23000000;130000;Right
M. Balotelli;Mario  Barwuah Balotelli;8/12/1990;28;187.96;88;ST;Italy;82;82;23500000;68000;Right
Marlos;Marlos Romero Bonfim;6/7/1988;30;175.26;68.9;RM;Ukraine;82;82;21000000;1000;Left
Taison;Taison Barcellos Freda;1/13/1988;31;172.72;64;LM,CAM;Brazil;82;82;21000000;1000;Right
G. Bonaventura;Giacomo Bonaventura;8/22/1989;29;154.94;74.8;CM,LW;Italy;82;82;22000000;115000;Right
G. Kondogbia;Geoffrey Kondogbia;2/15/1993;26;187.96;79.8;CM,CDM;Central African Rep.;81;84;22000000;43000;Left
J. Roussillon;Jérôme Roussillon;1/6/1993;26;175.26;79.8;LB,LWB,LM;France;81;83;18000000;50000;Left
S. Zaza;Simone Zaza;6/25/1991;27;185.42;83.9;ST;Italy;81;82;21000000;48000;Left
S. Vrsaljko;Šime Vrsaljko;1/10/1992;27;154.94;76.2;RB;Croatia;81;81;15000000;57000;Right
C. Kramer;Christoph Kramer;2/19/1991;28;190.5;76.2;CDM,CM;Germany;81;82;17000000;35000;Right
B. Mendy;Benjamin Mendy;7/17/1994;24;185.42;84.8;LB;France;81;86;20000000;105000;Left
M. Sabitzer;Marcel Sabitzer;3/17/1994;24;152.4;77.1;CAM,CM;Austria;81;84;22500000;54000;Right
M. Nastasić;Matija Nastasić;3/28/1993;25;187.96;83;CB;Serbia;81;84;18500000;36000;Left
A. Plea;Alassane Plea;3/10/1993;25;154.94;78.9;ST,LW;France;81;83;22000000;40000;Right
M. Ginter;Matthias Ginter;1/19/1994;25;187.96;83;CB,CDM;Germany;81;83;18500000;30000;Right
Gerard Moreno;Gerard Moreno Balagueró;4/7/1992;26;154.94;77.1;ST;Spain;81;83;22000000;45000;Left
A. Doucouré;Abdoulaye Doucouré;1/1/1993;26;182.88;76.2;CDM,CM;France;81;85;19500000;60000;Right
R. Guerreiro;Raphaël Guerreiro;12/22/1993;25;170.18;71.2;LM,LB,CM;Portugal;81;84;22500000;54000;Left
Ricardo Pereira;Ricardo Barbosa Pereira;10/6/1993;25;175.26;69.9;RB,RM;Portugal;81;84;18500000;64000;Right
Samu Castillejo;Samuel Castillejo Azuaga;1/18/1995;24;182.88;67.1;RM,LM,CM;Spain;81;85;23000000;86000;Left
J. Brandt;Julian Brandt;5/2/1996;22;185.42;83.9;LM,RM,CAM;Germany;81;88;25000000;63000;Right
N. Pépé;Nicolas Pépé;5/29/1995;23;182.88;73;RM,RW,ST;Ivory Coast;80;88;22000000;35000;Left
S. Bergwijn;Steven Bergwijn;10/8/1997;21;152.4;78;LW,RW;Netherlands;80;86;20500000;18000;Right
A. Onana;André Onana;4/2/1996;22;187.96;93;GK;Cameroon;80;85;14500000;14000;Right
F. Balbuena;Fabián Balbuena;8/23/1991;27;187.96;84.8;CB;Paraguay;80;83;15500000;80000;Right
André Silva;André Miguel Valente da Silva;11/6/1995;23;185.42;78.9;ST;Portugal;80;87;21000000;89000;Right
Oyarzabal;Mikel Oyarzabal Ugarte;4/21/1997;21;154.94;78;LW,LM,RW;Spain;80;87;21000000;29000;Left
Everton Andrão;Everton Jorge Andrade Zanon;2/29/1984;35;152.4;74.8;CDM,CM;Brazil;80;80;4500000;34000;Right
Welington Dano;Welington Kauê Dano Nascimento;2/29/1988;31;152.4;68.9;LB,LM;Brazil;80;80;10500000;34000;Left
Richarlison;Richarlison de Andrade;5/10/1997;21;154.94;71.2;ST,LW,LM;Brazil;80;86;21000000;84000;Right
Odriozola;Álvaro Odriozola Arzalluz;12/14/1995;23;175.26;66.2;RB;Spain;80;88;18500000;115000;Right
Carlos Soler;Carlos Soler Barragán;1/2/1997;22;154.94;76.2;RM,CM;Spain;80;87;21000000;31000;Right
H. Aouar;Houssem Aouar;6/30/1998;20;175.26;69.9;CM,LM;France;80;90;23500000;51000;Right
T. Ndombele;Tanguy NDombèlé Alvaro;12/28/1996;22;154.94;76.2;CM,CDM;France;80;89;22500000;51000;Right
M. Gómez;Maximiliano Gómez;8/14/1996;22;185.42;83.9;ST;Uruguay;80;85;20500000;25000;Right
Joaquín;Joaquín Sánchez Rodríguez;7/21/1981;37;152.4;74.8;LM,ST,RM;Spain;81;81;6000000;24000;Right
J. Mathieu;Jérémy Mathieu;10/29/1983;35;187.96;83.9;CB;France;81;81;5500000;18000;Left
J. Matip;Joël Andre Job Matip;8/8/1991;27;193.04;89.8;CB;Cameroon;80;82;15000000;99000;Right
S. Aurier;Serge Aurier;12/24/1992;26;175.26;76.2;RB,RWB;Ivory Coast;80;83;15500000;82000;Right
J. Guilavogui;Josuha Guilavogui;9/19/1990;28;187.96;77.1;CDM,CM;France;80;81;14000000;49000;Right
A. Oxlade-Chamberlain;Alex Oxlade-Chamberlain;8/15/1993;25;175.26;69.9;CM,RM;England;80;85;19500000;94000;Right
M. Ryan;Mathew Ryan;4/8/1992;26;182.88;82.1;GK;Australia;80;83;13000000;43000;Right
V. Aboubakar;Vincent Paté Aboubakar;1/22/1992;27;182.88;82.1;ST;Cameroon;80;81;17500000;19000;Right
L. Muriel;Luis Fernando Muriel Fruto;4/16/1991;27;152.4;78.9;ST;Colombia;80;81;17500000;24000;Right
D. Vida;Domagoj Vida;4/29/1989;29;182.88;76.2;CB,RB;Croatia;80;80;11500000;55000;Right
Ibai Gómez;Ibai Gómez Pérez;11/11/1989;29;152.4;72.1;RM,RW,LM;Spain;80;80;15000000;31000;Right
Cristian Tello;Cristian Tello Herrera;8/19/1991;27;152.4;64.9;LM,RM;Spain;80;80;16000000;30000;Right
Ismaily;Ismaily Gonçalves dos S.;1/11/1990;29;152.4;82.1;LB;Brazil;80;80;11500000;1000;Left
A. Mandi;Aïssa Mandi;10/22/1991;27;182.88;78;CB;Algeria;80;83;15500000;27000;Right
C. Tătăruşanu;Anton Ciprian Tătărușanu;2/9/1986;33;195.58;86.2;GK;Romania;80;80;8500000;25000;Right
J. Murillo;Jeison Fabián Murillo Cerón;5/27/1992;26;182.88;78;CB;Colombia;80;84;16000000;38000;Right
E. Dier;Eric Dier;1/15/1994;25;187.96;89.8;CDM,CB,CM;England;80;84;16500000;73000;Right
J. Butland;Jack Butland;3/10/1993;25;195.58;94.8;GK;England;80;85;14000000;39000;Right
S. Sorrentino;Stefano Sorrentino;3/28/1979;39;185.42;84.8;GK;Italy;80;80;1000000;10000;Right
W. Rooney;Wayne Mark Rooney;10/24/1985;33;175.26;83;ST;England;80;80;12000000;13000;Right
Moyá;Miguel Ángel Moyá Rumbo;4/2/1984;34;187.96;83;GK;Spain;80;80;6000000;26000;Right
L. López;Lisandro López;3/2/1983;36;175.26;72.1;ST;Argentina;80;80;7000000;23000;Right
J. Mascherano;Javier Alejandro Mascherano;6/8/1984;34;175.26;73;CDM,CB;Argentina;80;80;4500000;20000;Right
Raffael;Raffael Caetano de Araújo;3/28/1985;33;175.26;68.9;CF,ST;Brazil;80;80;9500000;39000;Right
Diego López;Diego López Rodríguez;11/3/1981;37;195.58;88.9;GK;Spain;80;80;2000000;17000;Right
Juanfran;Juan Francisco Torres Belén;1/9/1985;34;154.94;71.2;RB;Spain;80;80;5500000;53000;Right
I. Denisov;Igor Denisov;5/17/1984;34;175.26;69.9;CDM;Russia;80;80;4500000;1000;Right
I. Akinfeev;Igor Akinfeev;4/8/1986;32;185.42;78;GK;Russia;80;80;8500000;1000;Right
A. Gignac;André-Pierre Gignac;12/5/1985;33;187.96;91.2;ST;France;80;80;12000000;70000;Right
Manuel Fernandes;Manuel Henrique Tavares Fernandes;2/5/1986;33;175.26;74.8;LM,CAM;Portugal;80;80;11500000;1000;Right
Dante;Dante Bonfim da Costa Santos;10/18/1983;35;187.96;84.8;CB;Brazil;80;80;4500000;37000;Left
L. Perrin;Loïc Perrin;8/7/1985;33;154.94;79.8;CB;France;80;80;8500000;37000;Right
Borja Valero;Borja Valero Iglesias;1/12/1985;34;175.26;73;CAM,CDM;Spain;80;80;9000000;69000;Right
A. Januzaj;Adnan Januzaj;2/5/1995;24;185.42;76.2;RW,RM;Belgium;79;85;17500000;32000;Left
J. Hector;Jonas Hector;5/27/1990;28;185.42;74.8;LB,CDM;Germany;79;79;10000000;26000;Left
M. Dabbur;Moanes Dabour;5/14/1992;26;182.88;76.2;ST;Israel;79;81;15500000;47000;Right
Óliver Torres;Óliver Torres Muñoz;11/10/1994;24;175.26;63;CM;Spain;79;84;16500000;15000;Right
Y. Bounou;Yassine Bounou;4/5/1991;27;193.04;78;GK;Morocco;79;82;10500000;26000;Left
J. Hofmann;Jonas Hofmann;7/14/1992;26;175.26;69.9;CAM,RM,LM;Germany;79;80;15000000;32000;Right
Otávio;Otávio Edmilson da Silva Monteiro;2/9/1995;24;172.72;71.2;RM,CAM,CM;Brazil;79;85;17500000;15000;Right
Jonny;Jonathan Castro Otto;3/3/1994;25;170.18;69.9;LWB;Spain;79;83;13500000;59000;Right
L. Dendoncker;Leander Dendoncker;4/15/1995;23;187.96;88;CDM,CB,CM;Belgium;79;85;14500000;20000;Right
R. Zobnin;Roman Zobnin;2/11/1994;25;182.88;74.8;CDM,CM,LM;Russia;79;86;15000000;1000;Right
Ricardo Horta;Ricardo Jorge da Luz Horta;9/15/1994;24;172.72;63;LM;Portugal;79;84;17000000;16000;Right
Thiago Mendes;Thiago Henrique Mendes Ribeiro;3/15/1992;26;152.4;79.8;CDM,CM,RM;Brazil;79;83;13500000;35000;Right
J. Lerma;Jefferson Andrés Lerma Solís;10/25/1994;24;152.4;69.9;CDM,CM;Colombia;79;83;14000000;55000;Right
J. Gbamin;Jean-Philippe Gbamin;9/25/1995;23;185.42;83;CDM,CM,CB;Ivory Coast;79;84;14500000;26000;Right
I. Marcone;Iván Marcone;6/3/1990;28;182.88;83;CDM;Argentina;79;80;11500000;27000;Right
D. Benedetto;Darío Benedetto;5/17/1990;28;152.4;79.8;ST;Argentina;79;79;13000000;32000;Right
M. Hitz;Marwin Hitz;9/18/1987;31;193.04;88.9;GK;Switzerland;79;79;8000000;41000;Right
N. Clyne;Nathaniel Edwin Clyne;4/5/1991;27;175.26;67.1;RB;England;79;80;11500000;94000;Right
A. Ljajić;Adem Ljajić;9/29/1991;27;182.88;73.9;CAM,LW;Serbia;79;80;15000000;49000;Right
J. Guðmundsson;Johann  Berg Guðmunds­son;10/27/1990;28;152.4;77.1;RM,LM;Iceland;79;79;13000000;61000;Left
Elkeson;Elkeson de Oliveira Cardoso;7/13/1989;29;154.94;77.1;ST,CAM;Brazil;79;79;13000000;25000;Right
Kike García;Enrique García Martínez;11/25/1989;29;185.42;78.9;ST;Spain;79;79;13000000;32000;Right
Escudero;Sergio Escudero Palomo;9/2/1989;29;175.26;72.1;LB,LM;Spain;79;79;10000000;20000;Left
Herrerín;Iago Herrerín Buisán;1/25/1988;31;187.96;94.8;GK;Spain;79;79;8000000;21000;Right
Víctor Ruiz;Víctor Ruíz Torre;1/25/1989;30;185.42;78;CB;Spain;79;79;10000000;35000;Left
G. Medel;Gary Alexis Medel Soto;8/3/1987;31;170.18;64.9;CDM,CB;Chile;79;79;9500000;50000;Right
Y. Belhanda;Younès Belhanda;2/25/1990;29;152.4;74.8;CAM,LW;Morocco;79;79;12500000;65000;Right
Hugo Mallo;Hugo Mallo Novegil;6/22/1991;27;175.26;72.1;RB;Spain;79;79;10500000;26000;Right
Borja García;Borja García Freire;11/2/1990;28;175.26;72.1;LM,CM;Spain;79;79;13000000;35000;Right
W. Khazri;Wahbi Khazri;2/8/1991;28;175.26;82.1;ST,CF,CAM,LM;Tunisia;79;79;13500000;41000;Right
P. Jones;Phil Jones;2/21/1992;27;185.42;71.2;CB;England;79;80;12000000;110000;Right
A. Finnbogason;Alfreð Finnbogason;2/1/1989;30;182.88;79.8;ST;Iceland;79;79;12500000;35000;Right
Vinícius Júnior;Vinícius José de Oliveira Júnior;7/12/2000;18;175.26;73;LW,RW;Brazil;78;92;20500000;70000;Right
Junior Firpo;Héctor Junior Firpo Adamés;8/22/1996;22;182.88;74.8;LWB,LB,CB,LM;Spain;78;85;12500000;17000;Left
E. Belözoğlu;Emre Belözoğlu;9/7/1980;38;170.18;72.1;CM,CDM;Turkey;79;79;4000000;23000;Left
Fernando Torres;Fernando José Torres Sanz;3/20/1984;34;185.42;78.9;ST;Spain;79;79;6500000;9000;Right
B. Schweinsteiger;Bastian Schweinsteiger;8/1/1984;34;182.88;78.9;CDM,CB,CM;Germany;79;79;5000000;10000;Right
B. Yılmaz;Burak Yılmaz;7/15/1985;33;187.96;77.1;ST;Turkey;79;79;10000000;59000;Right
M. Gómez;Mario Gómez García;7/10/1985;33;187.96;88.9;ST;Germany;79;79;10000000;44000;Right
A. Young;Ashley Young;7/9/1985;33;175.26;64.9;RB,LB;England;79;79;7000000;110000;Right
R. Babel;Ryan Guno Babel;12/19/1986;32;185.42;84.8;LW;Netherlands;79;79;11000000;70000;Right
B. Costil;Benoît Costil;7/3/1987;31;187.96;88;GK;France;79;79;8000000;35000;Right
S. Kalou;Salomon Armand Magloire Kalou;8/5/1985;33;182.88;77.1;LM,ST,RM;Ivory Coast;79;79;10000000;34000;Right
E. Lavezzi;Ezequiel Iván Lavezzi;5/3/1985;33;172.72;74.8;ST,CAM;Argentina;79;79;8000000;22000;Right
H. Ben Arfa;Hatem Ben Arfa;3/7/1987;32;152.4;73.9;CAM,ST;France;79;79;11000000;38000;Left
B. Foster;Ben Foster;4/3/1983;35;193.04;89.8;GK;England;79;79;3000000;29000;Left
T. Heaton;Tom Heaton;4/15/1986;32;187.96;92.1;GK;England;79;79;7000000;45000;Right
Charles;Charles Dias De Oliveira;4/4/1984;34;152.4;74.8;ST;Brazil;79;79;6500000;31000;Right
G. Cahill;Gary Cahill;12/19/1985;33;193.04;88;CB;England;79;79;7000000;94000;Right
A. Iwobi;Alex Iwobi;5/3/1996;22;185.42;74.8;LM,RM,LW;Nigeria;78;84;14000000;81000;Right
R. Loftus-Cheek;Ruben Loftus-Cheek;1/23/1996;23;190.5;88;CM,LM;England;78;85;14500000;81000;Right
A. Selikhov;Alexandr Selikhov;4/7/1994;24;187.96;84.8;GK;Russia;78;82;9500000;1000;Right
J. Mojica;Johan Andrés Mojica Palacio;8/21/1992;26;185.42;73;LWB,LM,LB;Colombia;78;81;10500000;28000;Left
C. Izquierdoz;Carlos Roberto Izquierdoz;11/3/1988;30;185.42;88.9;CB;Argentina;78;78;8000000;25000;Right
W. Benítez;Walter Benítez;1/19/1993;26;190.5;91.2;GK;Argentina;78;82;9500000;24000;Right
N. Maksimović;Nikola Maksimović;11/25/1991;27;193.04;87.1;CB;Serbia;78;81;11000000;54000;Right
A. Mitrović;Aleksandar Mitrović;9/16/1994;24;187.96;82.1;ST;Serbia;78;83;14000000;55000;Right
M. Sportiello;Marco Sportiello;5/10/1992;26;193.04;87.1;GK;Italy;78;80;8500000;22000;Right
Capa;Ander Capa Rodríguez;5/14/1992;26;175.26;74.8;RB;Spain;78;81;10500000;23000;Right
Marcelo Goiano;Marcelo Augusto Ferreira Teixeira;10/13/1987;31;175.26;68.9;RB,LB;Brazil;78;78;7500000;15000;Right
Y. Tielemans;Youri Tielemans;5/7/1997;21;175.26;72.1;CM,CDM;Belgium;78;87;16000000;47000;Right
S. Lobotka;Stanislav Lobotka;11/25/1994;24;170.18;64;CM,CDM;Slovakia;78;84;14000000;22000;Right
M. Philipp;Maximilian Philipp;3/1/1994;25;182.88;78.9;ST,CF,LM,CAM;Germany;78;83;14000000;48000;Right
L. Dubois;Léo Dubois;9/14/1994;24;152.4;73;RB,RWB;France;78;82;11000000;47000;Right
L. Dunk;Lewis Dunk;11/21/1991;27;193.04;88;CB;England;78;81;11000000;46000;Right
C. Schindler;Christopher Schindler;4/29/1990;28;187.96;77.1;CB;Germany;78;80;10000000;48000;Right
Y. Konoplyanka;Yevhen Konoplyanka;9/29/1989;29;152.4;78;LM,LW,ST;Ukraine;78;78;10500000;35000;Right
Pedro Mendes;Pedro Filipe Teodósio Mendes;10/1/1990;28;185.42;78;CB;Portugal;78;80;10000000;26000;Right
R. Saponara;Riccardo Saponara;12/21/1991;27;182.88;73;CAM;Italy;78;78;11000000;56000;Right
L. Kurzawa;Layvin Kurzawa;9/4/1992;26;182.88;76.2;LB,LWB;France;78;81;10500000;61000;Left
M. Hinteregger;Martin Hinteregger;9/7/1992;26;182.88;83;CB;Austria;78;80;10500000;24000;Left
D. da Costa;Danny  Vieira da Costa;7/13/1993;25;187.96;88;RWB,RB,RM;Germany;78;80;10500000;29000;Right
Fernando;Fernando Lucas Martins;3/3/1992;27;175.26;79.8;CDM,CM;Brazil;78;80;10500000;1000;Right
