"",Name,Wiki,Rocket Height
28,Angara A5/Briz-M,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,
29,Angara A5/DM-03,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,
30,Angara A5M,https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5,
31,Antares 110,https://en.wikipedia.org/wiki/Antares_(rocket),40.5 m
32,Antares 120,https://en.wikipedia.org/wiki/Antares_(rocket),40.5 m
33,Antares 130,https://en.wikipedia.org/wiki/Antares_(rocket),40.5 m
34,Antares 230,https://en.wikipedia.org/wiki/Antares_(rocket),41.9 m
35,Antares 230+,https://en.wikipedia.org/wiki/Antares_%28rocket%29#Antares_230+,42.5 m
36,Ares 1-X,https://en.wikipedia.org/wiki/Ares_I,94.0 m
37,Ariane 1,https://en.wikipedia.org/wiki/Ariane_1,50.0 m
38,Ariane 2,https://en.wikipedia.org/wiki/Ariane_2,49.13 m
39,Ariane 3,https://en.wikipedia.org/wiki/Ariane_3,49.13 m
40,Ariane 40,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
41,Ariane 42L,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
42,Ariane 42P,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
43,Ariane 44L,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
44,Ariane 44LP,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
45,Ariane 44P,https://en.wikipedia.org/wiki/Ariane_4,58.72 m
46,Ariane 5 ECA,https://en.wikipedia.org/wiki/Ariane_5,53.0 m
47,Ariane 5 ES,https://en.wikipedia.org/wiki/Ariane_5,50.5 m
48,Ariane 5 G,https://en.wikipedia.org/wiki/Ariane_5,52.0 m
49,Ariane 5 G+,https://en.wikipedia.org/wiki/Ariane_5,
50,Ariane 5 GS,https://en.wikipedia.org/wiki/Ariane_5,
51,Ariane 62,https://en.wikipedia.org/wiki/Ariane_6,63.0 m
52,Ariane 64,https://en.wikipedia.org/wiki/Ariane_6,63.0 m
53,Ariane 64 / Icarus,https://en.wikipedia.org/wiki/Ariane_6,63.0 m
54,ASLV,https://en.wikipedia.org/wiki/Augmented_Satellite_Launch_Vehicle,24.0 m
55,Athena I,https://en.wikipedia.org/wiki/Athena_I,18.9 m
56,Athena II,https://en.wikipedia.org/wiki/Athena_II,28.2 m
57,Atlas-D Able,https://en.wikipedia.org/wiki/Atlas-Able,35.0 m
58,Atlas-D Mercury,https://en.wikipedia.org/wiki/Atlas_LV-3B,28.7 m
59,Atlas-D OV1,https://en.wikipedia.org/wiki/SM-65D_Atlas,
60,Atlas-E/F Agena D,https://en.wikipedia.org/wiki/Atlas-Agena,
61,Atlas-E/F Altair,https://en.wikipedia.org/wiki/Atlas_E/F,
62,Atlas-E/F Burner,,
63,Atlas-E/F MSD,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-MSD,
64,Atlas-E/F OIS,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OIS,
65,Atlas-E/F OV1,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OV1,
66,Atlas-E/F PTS,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-PTS,
67,Atlas-E/F SGS-1,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS,
68,Atlas-E/F SGS-2,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS,
69,Atlas-E/F Star-17A,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star,
70,Atlas-E/F Star-37S-ISS,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star,
71,Atlas-G Centaur-D1AR,https://en.wikipedia.org/wiki/Atlas_G,
72,Atlas-H MSD,https://en.wikipedia.org/wiki/Atlas_H,
73,Atlas I,https://en.wikipedia.org/wiki/Atlas_I,43.9 m
74,Atlas II,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),47.5 m
75,Atlas IIA,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),47.5 m
76,Atlas IIAS,https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999),47.5 m
77,Atlas IIIA,https://en.wikipedia.org/wiki/Atlas_III,52.8 m
78,Atlas IIIB,https://en.wikipedia.org/wiki/Atlas_III,52.8 m
79,Atlas-LV3 Agena-A,https://en.wikipedia.org/wiki/Atlas-Agena,
80,Atlas-LV3 Agena-B,https://en.wikipedia.org/wiki/Atlas-Agena,
81,Atlas-LV3 Agena-D,https://en.wikipedia.org/wiki/Atlas-Agena,
82,Atlas-LV3C Centaur-A,https://en.wikipedia.org/wiki/Atlas-Centaur,
83,Atlas-LV3C Centaur-B,https://en.wikipedia.org/wiki/Atlas-Centaur,
84,Atlas-LV3C Centaur-C,https://en.wikipedia.org/wiki/Atlas-Centaur,
85,Atlas-LV3C Centaur-D,https://en.wikipedia.org/wiki/Atlas-Centaur,
86,Atlas SLV-3,https://en.wikipedia.org/wiki/Atlas_SLV-3,
87,Atlas-SLV3A Agena-D,https://en.wikipedia.org/wiki/Atlas-Agena,
88,Atlas-SLV3 Agena-B,https://en.wikipedia.org/wiki/Atlas-Agena,
89,Atlas-SLV3 Agena-D,https://en.wikipedia.org/wiki/Atlas-Agena,
90,Atlas-SLV3B Agena-D,https://en.wikipedia.org/wiki/Atlas-Agena,
91,Atlas-SLV3 Burner-2,https://en.wikipedia.org/wiki/Atlas_SLV-3,
92,Atlas-SLV3C Centaur-D,https://en.wikipedia.org/wiki/Atlas-Centaur,
93,Atlas-SLV3D Centaur-D1A,https://en.wikipedia.org/wiki/Atlas-Centaur,
94,Atlas-SLV3D Centaur-D1AR,https://en.wikipedia.org/wiki/Atlas-Centaur,
95,Atlas V 401,https://en.wikipedia.org/wiki/Atlas_V,58.3 m
96,Atlas V 411,https://en.wikipedia.org/wiki/Atlas_V,58.3 m
97,Atlas V 421,https://en.wikipedia.org/wiki/Atlas_V,58.3 m
98,Atlas V 431,https://en.wikipedia.org/wiki/Atlas_V,59.1 m
99,Atlas V 501,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
100,Atlas V 511,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
101,Atlas V 521,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
102,Atlas V 531,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
103,Atlas V 541,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
104,Atlas V 551,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
105,Atlas V 552,https://en.wikipedia.org/wiki/Atlas_V,62.2 m
106,Atlas V N22,https://en.wikipedia.org/wiki/Atlas_V,
107,Black Arrow,https://en.wikipedia.org/wiki/Black_Arrow,13.0 m
108,Blue Scout II,https://en.wikipedia.org/wiki/RM-90_Blue_Scout_II,24.0 m
109,Ceres-1,,19.0 m
110,Commercial Titan III,https://en.wikipedia.org/wiki/Commercial_Titan_III,47.0 m
111,Conestoga-1620,https://en.wikipedia.org/wiki/Conestoga_(rocket),
112,Cosmos-1 (65S3),https://en.wikipedia.org/wiki/Kosmos_(rocket_family),31.0 m
113,Cosmos-2I (63S1),https://en.wikipedia.org/wiki/Kosmos_(rocket_family),31.0 m
114,Cosmos-2I (63SM),https://en.wikipedia.org/wiki/Kosmos-2I,31.0 m
115,Cosmos-3 (11K65),https://en.wikipedia.org/wiki/Kosmos-3,26.0 m
116,Cosmos-3M (11K65M),https://en.wikipedia.org/wiki/Kosmos-3M,32.0 m
117,Cosmos-3MRB (65MRB),https://en.wikipedia.org/wiki/Kosmos-3,26.0 m
118,Delta 3920-8,https://en.wikipedia.org/wiki/Delta_3000,
119,Delta 4925-8,https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_4000-Series,34.0 m
120,Delta A,https://en.wikipedia.org/wiki/Delta_A,
121,Delta B,https://en.wikipedia.org/wiki/Delta_B,
122,Delta C,https://en.wikipedia.org/wiki/Delta_C,31.0 m
123,Delta II 6920-10,https://en.wikipedia.org/wiki/Delta_II,38.9 m
124,Delta II 6920-8,https://en.wikipedia.org/wiki/Delta_II,38.1 m
125,Delta II 6925,https://en.wikipedia.org/wiki/Delta_II,38.1 m
126,Delta II 6925-8,https://en.wikipedia.org/wiki/Delta_II,38.1 m
127,Delta II 7320-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
128,Delta II 7326,https://en.wikipedia.org/wiki/Delta_II,38.1 m
129,Delta II 7420-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
130,Delta II 7425,https://en.wikipedia.org/wiki/Delta_II,38.1 m
131,Delta II 7425-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
132,Delta II 7426,https://en.wikipedia.org/wiki/Delta_II,38.1 m
133,Delta II 7920-10,https://en.wikipedia.org/wiki/Delta_II,38.9 m
134,Delta II 7920-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
135,Delta II 7920-10L,https://en.wikipedia.org/wiki/Delta_II,39.3 m
136,Delta II 7920-8,https://en.wikipedia.org/wiki/Delta_II,38.1 m
137,Delta II 7920H,https://en.wikipedia.org/wiki/Delta_II,38.1 m
138,Delta II 7920H-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
139,Delta II 7925,https://en.wikipedia.org/wiki/Delta_II,38.1 m
140,Delta II 7925-10,https://en.wikipedia.org/wiki/Delta_II,38.9 m
141,Delta II 7925-10C,https://en.wikipedia.org/wiki/Delta_II,38.9 m
142,Delta II 7925-10L,https://en.wikipedia.org/wiki/Delta_II,39.3 m
143,Delta II 7925-8,https://en.wikipedia.org/wiki/Delta_II,38.1 m
144,Delta II 7925H,https://en.wikipedia.org/wiki/Delta_II,38.1 m
145,Delta III 8930,https://en.wikipedia.org/wiki/Delta_III,35.0 m
146,Delta IV Heavy,https://en.wikipedia.org/wiki/Delta_IV_Heavy,72.0 m
147,Delta IV Medium,https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_M,62.5 m
148,"Delta IV Medium+ (4,2)",https://en.wikipedia.org/wiki/Delta_IV,62.5 m
149,"Delta IV Medium+ (5,2)",https://en.wikipedia.org/wiki/Delta_IV,66.4 m
150,"Delta IV Medium+ (5,4)",https://en.wikipedia.org/wiki/Delta_IV,66.4 m
151,Diamant A,https://en.wikipedia.org/wiki/Diamant,16.95 m
152,Diamant B,https://en.wikipedia.org/wiki/Diamant,24.2 m
153,Diamant BP4,https://en.wikipedia.org/wiki/Diamant,21.64 m
154,Dnepr,https://en.wikipedia.org/wiki/Dnepr_(rocket),34.3 m
155,Electron,https://en.wikipedia.org/wiki/Electron_(rocket),17.0 m
156,Electron/Curie,https://en.wikipedia.org/wiki/Electron_(rocket),17.0 m
157,Electron/Photon,https://en.wikipedia.org/wiki/Electron_(rocket),17.0 m
158,Energiya/Buran,https://en.wikipedia.org/wiki/Energia#Development,59.0 m
159,Energiya/Polyus,https://en.wikipedia.org/wiki/Energia#Development,59.0 m
160,Epsilon,https://en.wikipedia.org/wiki/Epsilon_(rocket),26.0 m
161,Epsilon Demo,https://en.wikipedia.org/wiki/Epsilon_(rocket),24.0 m
162,Epsilon PBS,https://en.wikipedia.org/wiki/Epsilon_(rocket),26.0 m
163,Epsilon S,https://en.wikipedia.org/wiki/Epsilon_(rocket),27.0 m
164,Europa 1,https://en.wikipedia.org/wiki/Europa_(rocket),31.68 m
165,Europa 2,https://en.wikipedia.org/wiki/Europa_(rocket),31.68 m
166,Falcon 1,https://en.wikipedia.org/wiki/Falcon_1,22.25 m
167,Falcon 9 Block 3,https://en.wikipedia.org/wiki/Falcon_9,70.0 m
168,Falcon 9 Block 4,https://en.wikipedia.org/wiki/Falcon_9,70.0 m
169,Falcon 9 Block 5,https://en.wikipedia.org/wiki/Falcon_9,70.0 m
170,Falcon 9 v1.0,https://en.wikipedia.org/wiki/Falcon_9_v1.0,54.9 m
171,Falcon 9 v1.1,https://en.wikipedia.org/wiki/Falcon_9_v1.1,68.4 m
172,Falcon Heavy,https://en.wikipedia.org/wiki/Falcon_Heavy,70.0 m
173,Feng Bao 1,https://en.wikipedia.org/wiki/Feng_Bao_1,33.0 m
174,Firefly Alpha,https://en.wikipedia.org/wiki/Firefly_Alpha,29.0 m
175,Firefly Beta,https://en.wikipedia.org/wiki/Firefly_Beta,31.0 m
176,GSLV Mk I,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,49.13 m
177,GSLV Mk II,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle,51.7 m
178,GSLV Mk III,https://en.wikipedia.org/wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III,43.4 m
179,H-I (9 SO),https://en.wikipedia.org/wiki/H-I,42.0 m
180,H-II,https://en.wikipedia.org/wiki/H-II,49.0 m
181,H-II (2 SSB),https://en.wikipedia.org/wiki/H-II,49.0 m
182,H-IIA 202,https://en.wikipedia.org/wiki/H-IIA,53.0 m
183,H-IIA 2022,https://en.wikipedia.org/wiki/H-IIA,53.0 m
184,H-IIA 2024,https://en.wikipedia.org/wiki/H-IIA,53.0 m
185,H-IIA 204,https://en.wikipedia.org/wiki/H-IIA,
186,H-IIB,https://en.wikipedia.org/wiki/H-IIB,56.6 m
187,H-III 22,https://en.wikipedia.org/wiki/H3_(rocket),63.0 m
188,H-III 24,https://en.wikipedia.org/wiki/H3_(rocket),50.0 m
189,H-III 30,https://en.wikipedia.org/wiki/H3_(rocket),63.0 m
190,H-IIS,https://en.wikipedia.org/wiki/H-II,49.0 m
191,H-I UM-129A (6SO),https://en.wikipedia.org/wiki/H-I,42.0 m
192,H-I UM-129A (9SO),https://en.wikipedia.org/wiki/H-I,42.0 m
193,Hyperbola-1,https://en.wikipedia.org/wiki/I-Space_(Chinese_company)#Hyperbola-1,21.0 m
194,Jielong-1,,
195,Juno I,https://en.wikipedia.org/wiki/Juno_I,21.2 m
196,Juno II,https://en.wikipedia.org/wiki/Juno_II,24.0 m
197,Kaituozhe 1,https://en.wikipedia.org/wiki/Kaituozhe_(rocket_family),
198,Kaituozhe 2,https://en.wikipedia.org/wiki/Kaituozhe_(rocket_family)#KT-2,
199,Kuaizhou 1,https://en.wikipedia.org/wiki/Kuaizhou,
200,Kuaizhou 11,https://en.wikipedia.org/wiki/Kuaizhou,25.0 m
201,Kuaizhou 1A,https://en.wikipedia.org/wiki/Kuaizhou,19.4 m
202,Lambda-IV S,https://en.wikipedia.org/wiki/Lambda_(rocket_family),16.5 m
203,LauncherOne,https://en.wikipedia.org/wiki/LauncherOne,16.0 m
204,Long March 1,https://en.wikipedia.org/wiki/Long_March_1,30.45 m
205,Long March 11,https://en.wikipedia.org/wiki/Long_March_11,20.8 m
206,Long March 11A,https://en.wikipedia.org/wiki/Long_March_11,
207,Long March 11H,https://en.wikipedia.org/wiki/Long_March_11,20.8 m
208,Long March 2,https://en.wikipedia.org/wiki/Long_March_2A,32.0 m
209,Long March 2C,https://en.wikipedia.org/wiki/Long_March_2C,42.0 m
210,Long March 2C/E,https://en.wikipedia.org/wiki/Long_March_2C,42.0 m
211,Long March 2C/SMA,https://en.wikipedia.org/wiki/Long_March_2C,
212,Long March 2C/YZ-1S,https://en.wikipedia.org/wiki/Long_March_2C,42.0 m
213,Long March 2D,https://en.wikipedia.org/wiki/Long_March_2D,41.06 m
214,Long March 2D/YZ-3,https://en.wikipedia.org/wiki/Long_March_2D,
215,Long March 2E,https://en.wikipedia.org/wiki/Long_March_2E,49.7 m
216,Long March 2F,https://en.wikipedia.org/wiki/Long_March_2F,62.0 m
217,Long March 2F/G,https://en.wikipedia.org/wiki/Long_March_2F,62.0 m
218,Long March 2F/T,https://en.wikipedia.org/wiki/Long_March_2F,58.0 m
219,Long March 3,https://en.wikipedia.org/wiki/Long_March_3,43.25 m
220,Long March 3A,https://en.wikipedia.org/wiki/Long_March_3A,52.52 m
221,Long March 3B,https://en.wikipedia.org/wiki/Long_March_3B,54.8 m
222,Long March 3B/E,https://en.wikipedia.org/wiki/Long_March_3B,56.3 m
223,Long March 3B/YZ-1,https://en.wikipedia.org/wiki/Long_March_3B,
224,Long March 3C,https://en.wikipedia.org/wiki/Long_March_3C,55.64 m
225,Long March 3C/E,https://en.wikipedia.org/wiki/Long_March_3C,54.8 m
226,Long March 3C/YZ-1,https://en.wikipedia.org/wiki/Long_March_3C,
227,Long March 4A,https://en.wikipedia.org/wiki/Long_March_4A,41.9 m
228,Long March 4B,https://en.wikipedia.org/wiki/Long_March_4B,44.1 m
229,Long March 4C,https://en.wikipedia.org/wiki/Long_March_4C,45.8 m
230,Long March 5,https://en.wikipedia.org/wiki/Long_March_5,57.0 m
231,Long March 5B,https://en.wikipedia.org/wiki/Long_March_5,53.66 m
232,Long March 5/YZ-2,https://en.wikipedia.org/wiki/Long_March_5,57.0 m
233,Long March 6,https://en.wikipedia.org/wiki/Long_March_6,29.24 m
234,Long March 6A,https://en.wikipedia.org/wiki/Long_March_6,29.24 m
235,Long March 7,https://en.wikipedia.org/wiki/Long_March_7,53.1 m
236,Long March 7A,https://en.wikipedia.org/wiki/Long_March_7,
237,Long March 7/YZ-1A,https://en.wikipedia.org/wiki/Long_March_7,53.1 m
238,Long March 8,https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Long_March_8,
239,Long March 9,https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Variants,110.0 m
240,Mercury-Redstone,https://en.wikipedia.org/wiki/Mercury-Redstone_Launch_Vehicle,25.4 m
241,Minotaur C (Taurus),https://en.wikipedia.org/wiki/Minotaur-C,27.9 m
242,Minotaur I,https://en.wikipedia.org/wiki/Minotaur_I,19.21 m
243,Minotaur IV,https://en.wikipedia.org/wiki/Minotaur_IV,23.88 m
244,Minotaur V,https://en.wikipedia.org/wiki/Minotaur_V,24.56 m
245,Miura 5,https://en.wikipedia.org/wiki/PLD_Space#Miura_5,20.7 m
246,Molniya,https://en.wikipedia.org/wiki/Molniya_(rocket),43.4 m
247,Molniya-M /Block 2BL,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
248,Molniya-M /Block L,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
249,Molniya-M /Block ML,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
250,Molniya-M /Block NVL,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
251,Molniya-M /Block SO-L,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
252,Molniya-M /Block VL,https://en.wikipedia.org/wiki/Molniya-M,43.4 m
253,MOMO,https://en.wikipedia.org/wiki/Interstellar_Technologies#MOMO_sounding_rocket,10.0 m
254,Mu-III C,https://en.wikipedia.org/wiki/Mu_(rocket_family),
255,Mu-III H,https://en.wikipedia.org/wiki/Mu_(rocket_family),
256,Mu-III S,https://en.wikipedia.org/wiki/Mu_(rocket_family),
257,Mu-III S2,https://en.wikipedia.org/wiki/Mu_(rocket_family),
258,Mu-IV S,https://en.wikipedia.org/wiki/Mu_(rocket_family),23.6 m
259,Mu-V / M-24,https://en.m.wikipedia.org/wiki/M-V,30.7 m
260,Mu-V / M-25,https://en.m.wikipedia.org/wiki/M-V,30.7 m
261,N1-L3,https://en.wikipedia.org/wiki/N1_(rocket),105.0 m
262,N1-L3 M,https://en.wikipedia.org/wiki/N1_(rocket),105.0 m
263,Naro-1,https://en.wikipedia.org/wiki/Naro-1,33.0 m
264,New Glenn,https://en.wikipedia.org/wiki/New_Glenn,82.0 m
265,New Shepard,https://en.wikipedia.org/wiki/New_Shepard,18.0 m
266,N-I,https://en.wikipedia.org/wiki/N-I_(rocket),34.0 m
267,N-II,https://en.wikipedia.org/wiki/N-II_(rocket),35.0 m
268,N-II Star-37E,https://en.wikipedia.org/wiki/N-II_(rocket),35.0 m
269,N-I Star-37E,https://en.wikipedia.org/wiki/N-I_(rocket),34.0 m
270,NOTS-EV-1 Pilot II,https://en.wikipedia.org/wiki/NOTS-EV-1_Pilot,4.0 m
271,NSL-A,https://gotospaceindustries.com/programmi-spaziali/lanciatori-orbitali/nanosatellite-launcher/,18.0 m
272,OS-M1,https://en.wikipedia.org/wiki/OneSpace#OS-M,
273,Palas 1,,42.0 m
274,Pegasus,https://en.wikipedia.org/wiki/Pegasus_(rocket),16.9 m
275,Pegasus/HAPS,https://en.wikipedia.org/wiki/Pegasus_(rocket),16.9 m
276,Pegasus XL,https://en.wikipedia.org/wiki/Pegasus_(rocket),17.6 m
277,Pegasus XL/HAPS,https://en.wikipedia.org/wiki/Pegasus_(rocket),17.6 m
278,Poliot,,
279,Proton,https://en.wikipedia.org/wiki/Proton_(rocket_family),39.8 m
280,Proton K,https://en.wikipedia.org/wiki/Proton-K,58.46 m
281,Proton K/Block D,https://en.wikipedia.org/wiki/Proton-K,56.14 m
282,Proton K/Block D-1,https://en.wikipedia.org/wiki/Proton-K,56.14 m
283,Proton K/Block D-2,https://en.wikipedia.org/wiki/Proton-K,56.14 m
284,Proton K/Block-DM,https://en.wikipedia.org/wiki/Proton-K,54.89 m
285,Proton K/Block DM-1,https://en.wikipedia.org/wiki/Proton-K,57.24 m
286,Proton K/Block DM2,https://en.wikipedia.org/wiki/Proton-K,57.64 m
287,Proton K/Block DM-2,https://en.wikipedia.org/wiki/Proton-K,57.64 m
288,Proton K/Block DM-2M,https://en.wikipedia.org/wiki/Proton-K,57.64 m
289,Proton K/Block DM-3,https://en.wikipedia.org/wiki/Proton-K,57.64 m
290,Proton K/Block DM-4,https://en.wikipedia.org/wiki/Proton-K,57.64 m
291,Proton K/Block DM-5,https://en.wikipedia.org/wiki/Proton-K,57.64 m
292,Proton K/Briz-M,https://en.wikipedia.org/wiki/Proton-K,54.54 m
293,Proton M,https://en.wikipedia.org/wiki/Proton-M,58.2 m
294,Proton-M/Briz-M,https://en.wikipedia.org/wiki/Proton-M,58.2 m
295,Proton-M/DM-2,https://en.wikipedia.org/wiki/Proton-M,53.0 m
296,Proton-M/DM-3,https://en.wikipedia.org/wiki/Proton-M,53.0 m
297,PSLV-CA,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,44.0 m
298,PSLV-DL,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle,44.0 m
299,PSLV-G,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,44.5 m
300,PSLV-QL,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,44.0 m
301,PSLV-XL,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants,44.0 m
302,Qased,https://fr.wikipedia.org/wiki/Qased,18.6 m
303,Redstone Sparta,https://en.wikipedia.org/wiki/PGM-11_Redstone,21.0 m
304,Rocket 3,https://fr.wikipedia.org/wiki/Rocket_(fus%C3%A9e),11.6 m
305,Rokot/Briz K,https://en.wikipedia.org/wiki/Rokot,
306,Rokot/Briz KM,https://en.wikipedia.org/wiki/Rokot,29.0 m
307,Rokot-M/Briz KM-2,https://en.wikipedia.org/wiki/Rokot,29.0 m
308,Safir-1,https://en.wikipedia.org/wiki/Safir_(rocket),26.0 m
309,Safir-1A,https://en.wikipedia.org/wiki/Safir_(rocket),26.0 m
310,Safir-1B,https://en.wikipedia.org/wiki/Safir_(rocket),26.0 m
311,Safir-1B+,https://en.wikipedia.org/wiki/Safir_(rocket),26.0 m
312,SARGE,https://en.wikipedia.org/wiki/Exos_Aerospace#SARGE,11.0 m
313,Saturn I,https://en.wikipedia.org/wiki/Saturn_I,55.0 m
314,Saturn IB,https://en.wikipedia.org/wiki/Saturn_IB,43.2 m
315,Saturn V,https://en.wikipedia.org/wiki/Saturn_V,110.6 m
316,Scout B,https://en.wikipedia.org/wiki/Scout_(rocket_family),21.0 m
317,Scout B1,https://en.wikipedia.org/wiki/Scout_(rocket_family),21.0 m
318,Scout D1,https://en.wikipedia.org/wiki/Scout_(rocket_family),21.0 m
319,Scout F1,https://en.wikipedia.org/wiki/Scout_(rocket_family),21.0 m
320,Scout G1,https://en.wikipedia.org/wiki/Scout_(rocket_family),21.0 m
321,Scout X-1,https://en.wikipedia.org/wiki/Scout_X-1,25.0 m
322,Scout X-2,https://en.wikipedia.org/wiki/Scout_X-2,25.0 m
323,Scout X-2B,https://en.wikipedia.org/wiki/Scout_X-2B,22.0 m
324,Scout X-2M,https://en.wikipedia.org/wiki/Scout_X-2M,22.0 m
325,Scout X-3,,
326,Scout X-3M,,22.0 m
327,Scout X-4,,25.0 m
328,Shavit,https://en.wikipedia.org/wiki/Shavit,18.0 m
329,Shavit-1,https://en.wikipedia.org/wiki/Shavit,20.0 m
330,Shavit-2,https://en.wikipedia.org/wiki/Shavit,22.0 m
331,Shtil',https://en.wikipedia.org/wiki/Shtil%27,15.0 m
332,Simorgh,https://en.wikipedia.org/wiki/Simorgh_(rocket),27.0 m
333,SLS Block 1,https://en.wikipedia.org/wiki/Space_Launch_System,98.1 m
334,SLV-3,https://en.wikipedia.org/wiki/Satellite_Launch_Vehicle,22.0 m
335,SM-65B Atlas,https://en.wikipedia.org/wiki/SM-65B_Atlas,26.0 m
336,Soyuz,https://en.wikipedia.org/wiki/Soyuz_(rocket),45.6 m
337,Soyuz 2.1a,https://en.wikipedia.org/wiki/Soyuz-2,
338,Soyuz 2.1a/Fregat,https://en.wikipedia.org/wiki/Soyuz-2,42.5 m
339,Soyuz 2.1a/Fregat-M,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1a,42.5 m
