Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket," Rocket",Status Mission
30,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sun May 17, 2020",Atlas V 501 | OTV-6 (USSF-7),StatusActive,"120.0 ",Success
31,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Tue May 12, 2020",Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,StatusActive,,Success
32,CASC,"LC-101, Wenchang Satellite Launch Center, China","Tue May 05, 2020",Long March 5B | Test Flight (New Crew Capsule),StatusActive,,Success
33,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Apr 25, 2020",Soyuz 2.1a | Progress MS-14,StatusActive,"48.5 ",Success
34,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Apr 22, 2020",Falcon 9 Block 5 | Starlink V1 L6,StatusActive,"50.0 ",Success
35,IRGC,"Launch Plateform, Shahrud Missile Test Site","Wed Apr 22, 2020",Qased | Noor 1,StatusActive,,Success
36,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Apr 09, 2020",Long March 3B/E | Nusantara Dua,StatusActive,"29.15 ",Failure
37,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 09, 2020",Soyuz 2.1a | Soyuz MS-16,StatusActive,"48.5 ",Success
38,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Mar 26, 2020",Atlas V 551 | AEHF 6,StatusActive,"153.0 ",Success
39,CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Mar 24, 2020",Long March 2C | Yaogan-30-06,StatusActive,"30.8 ",Success
40,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 21, 2020",Soyuz 2.1b/Fregat | OneWeb #3,StatusActive,"48.5 ",Success
41,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Mar 18, 2020",Falcon 9 Block 5 | Starlink V1 L5,StatusActive,"50.0 ",Success
42,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Mar 16, 2020",Soyuz 2.1b/Fregat-M | Cosmos 2545,StatusActive,,Success
43,CASC,"LC-201, Wenchang Satellite Launch Center, China","Mon Mar 16, 2020",Long March 7A | XJY-6,StatusActive,,Failure
44,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Mar 09, 2020",Long March 3B/E | Beidou-3 G2,StatusActive,"29.15 ",Success
45,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Mar 07, 2020",Falcon 9 Block 5 | CRS-20,StatusActive,"50.0 ",Success
46,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Feb 20, 2020",Soyuz 2.1a/Fregat-M | Meridian-M n†­19L,StatusActive,"48.5 ",Success
47,CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Feb 19, 2020",Long March 2D | XJS-C to F,StatusActive,"29.75 ",Success
48,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 18, 2020",Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B,StatusActive,"200.0 ",Success
49,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Feb 17, 2020",Falcon 9 Block 5 | Starlink V1 L4,StatusActive,"50.0 ",Success
50,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Feb 15, 2020",Antares 230+ | CRS NG-13,StatusActive,"85.0 ",Success
51,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Mon Feb 10, 2020",Atlas V 411 | Solar Orbiter,StatusActive,"115.0 ",Success
52,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sun Feb 09, 2020",Simorgh | Zafar 1,StatusActive,,Failure
53,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Feb 09, 2020",H-IIA 202 | IGS-Optical 7,StatusActive,"90.0 ",Success
54,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 06, 2020",Soyuz 2.1b/Fregat | OneWeb #2,StatusActive,"48.5 ",Success
55,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Fri Jan 31, 2020",Electron/Curie | Birds of a Feather / NROL-151,StatusActive,"7.5 ",Success
56,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Jan 29, 2020",Falcon 9 Block 5 | Starlink V1 L3,StatusActive,"50.0 ",Success
57,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Jan 19, 2020",Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,StatusActive,"50.0 ",Success
58,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jan 16, 2020",Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,StatusActive,"200.0 ",Success
59,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Thu Jan 16, 2020",Kuaizhou 1A | Yinhe-1,StatusActive,,Success
60,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jan 15, 2020",Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,StatusActive,"29.75 ",Success
61,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 07, 2020",Long March 3B/E | TJSW-5,StatusActive,"29.15 ",Success
62,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Jan 07, 2020",Falcon 9 Block 5 | Starlink V1 L2,StatusActive,"50.0 ",Success
63,CASC,"LC-101, Wenchang Satellite Launch Center, China","Fri Dec 27, 2019",Long March 5 | Shijian-20,StatusActive,,Success
64,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Thu Dec 26, 2019","Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",StatusRetired,"41.8 ",Success
65,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Tue Dec 24, 2019",Proton-M/DM-3 | Elektro-L n†­3,StatusActive,"65.0 ",Success
66,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Dec 20, 2019",Atlas V N22 | Starliner OFT,StatusActive,,Success
67,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Dec 20, 2019","Long March 4B | CBERS-4A, ETRSS-1 & Others",StatusActive,"64.68 ",Success
68,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Dec 18, 2019","Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",StatusActive,,Success
69,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Dec 17, 2019",Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,"50.0 ",Success
70,CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Dec 16, 2019",Long March 3B/YZ-1 | BeiDou-3 M19 & M20,StatusActive,,Success
71,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Dec 11, 2019",New Shepard | NS-12,StatusActive,,Success
72,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Dec 11, 2019",PSLV-QL | RISAT 2BR1,StatusActive,"21.0 ",Success
73,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Dec 11, 2019",Soyuz 2.1b/Fregat | Cosmos 2544,StatusActive,"48.5 ",Success
74,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Dec 07, 2019",Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,StatusActive,,Success
75,ExPace,"Taiyuan Satellite Launch Center, China","Sat Dec 07, 2019",Kuaizhou 1A | Jilin-1 Gaofen-02B,StatusActive,,Success
76,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Dec 06, 2019",Soyuz 2.1a | Progress MS-13 (74P),StatusActive,"48.5 ",Success
77,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Fri Dec 06, 2019",Electron/Curie | Running Out Of Fingers,StatusActive,"7.5 ",Success
78,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Dec 05, 2019",Falcon 9 Block 5 | CRS-19,StatusActive,"50.0 ",Success
79,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Nov 27, 2019",Long March 4C | Gaofen-12,StatusActive,"64.68 ",Success
80,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Nov 27, 2019",PSLV-XL | Cartosat-3 & Rideshares,StatusActive,"31.0 ",Success
81,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Nov 26, 2019",Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,StatusActive,"200.0 ",Success
82,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Nov 25, 2019",Soyuz 2.1v/Volga | Cosmos 2542 & 2543,StatusActive,,Success
83,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Nov 23, 2019",Long March 3B/YZ-1 | BeiDou-3 M21 & M22,StatusActive,,Success
84,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sun Nov 17, 2019","Kuaizhou 1A | KL-Alpha A, KL-Alpha B",StatusActive,,Success
85,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Wed Nov 13, 2019",Long March 6 | Ningxia-1 (x5),StatusActive,,Success
86,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Nov 13, 2019",Kuaizhou 1A | Jilin 1-02A,StatusActive,,Success
87,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Nov 11, 2019",Falcon 9 Block 5 | Starlink V1 L1,StatusActive,"50.0 ",Success
88,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Nov 04, 2019",Long March 3B/E | Beidou-3 IGSO-3,StatusActive,"29.15 ",Success
89,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sun Nov 03, 2019",Long March 4B | Gaofen-7,StatusActive,"64.68 ",Success
90,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Nov 02, 2019",Antares 230+ | CRS NG-12,StatusActive,"85.0 ",Success
91,Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Oct 26, 2019",SARGE | Launch 4,StatusActive,,Failure
92,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Oct 17, 2019",Long March 3B/E | TJSW-4,StatusActive,"29.15 ",Success
93,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Thu Oct 17, 2019",Electron/Curie | As The Crow Flies,StatusActive,"7.5 ",Success
94,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA","Fri Oct 11, 2019",Pegasus XL | ICON,StatusActive,"40.0 ",Success
95,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Wed Oct 09, 2019",Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,StatusActive,"65.0 ",Success
96,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Oct 04, 2019",Long March 4C | Gaofen 10 (Replacement),StatusActive,"64.68 ",Success
97,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Sep 26, 2019",Soyuz 2.1b/Fregat | Cosmos 2541,StatusActive,"48.5 ",Success
98,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Sep 25, 2019",Soyuz FG | Soyuz MS-15 (61S),StatusRetired,,Success
99,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Sep 25, 2019",Long March 2D | Yunhai-1-02,StatusActive,"29.75 ",Success
100,MHI,"LA-Y2, Tanegashima Space Center, Japan","Tue Sep 24, 2019",H-IIB | HTV-8,StatusRetired,"112.5 ",Success
101,CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Sep 22, 2019",Long March 3B/YZ-1 | BeiDou-3 M23 & M24,StatusActive,,Success
102,CASC,"Site 95, Jiuquan Satellite Launch Center, China","Thu Sep 19, 2019",Long March 11 | Zhuhai-1 Group 03,StatusActive,"5.3 ",Success
103,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Sep 12, 2019","Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",StatusActive,"64.68 ",Success
104,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Aug 30, 2019",Kuaizhou 1A | KX-09 & Others,StatusActive,,Success
105,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Fri Aug 30, 2019",Rokot/Briz KM | Cosmos 2540,StatusRetired,"41.8 ",Success
106,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Thu Aug 29, 2019",Safir-1B+ | Nahid-1,StatusActive,,Prelaunch Failure
107,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Thu Aug 22, 2019","Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,"164.0 ",Success
108,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Aug 22, 2019",Soyuz 2.1a | Soyuz MS-14 (60S),StatusActive,"48.5 ",Success
109,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Mon Aug 19, 2019","Electron/Curie | Look Ma, No Hands!",StatusActive,"7.5 ",Success
110,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Aug 19, 2019",Long March 3B/E | ChinaSat 18,StatusActive,"29.15 ",Success
111,CASC,"Site 95, Jiuquan Satellite Launch Center, China","Sat Aug 17, 2019",Jielong-1 | Tianqi-4 & Others,StatusActive,"7.5 ",Success
112,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Aug 08, 2019",Atlas V 551 | AEHF 5,StatusActive,"153.0 ",Success
113,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Aug 06, 2019",Falcon 9 Block 5 | AMOS-17,StatusActive,"50.0 ",Success
114,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Aug 06, 2019",Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39,StatusActive,"200.0 ",Success
115,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Mon Aug 05, 2019",Proton-M/Briz-M | Cosmos 2539,StatusActive,"65.0 ",Success
116,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Jul 31, 2019",Soyuz 2.1a | Progress MS-12,StatusActive,"48.5 ",Success
117,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Jul 30, 2019",Soyuz 2.1a/Fregat-M | Meridian-M n†­18L,StatusActive,"48.5 ",Success
118,CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Jul 26, 2019",Long March 2C | Yaogan-30-05,StatusActive,"30.8 ",Success
119,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Jul 25, 2019",Falcon 9 Block 5 | CRS-18,StatusActive,"50.0 ",Success
120,i-Space,"Site 95, Jiuquan Satellite Launch Center, China","Thu Jul 25, 2019",Hyperbola-1 | CAS-7B & Others,StatusActive,,Success
121,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Jul 22, 2019",GSLV Mk III | Chandrayaan-2 lunar mission,StatusActive,"62.0 ",Success
122,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sat Jul 20, 2019",Soyuz FG | Soyuz MS-13 (59S),StatusRetired,,Success
123,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Sat Jul 13, 2019",Proton-M/DM-3 | Spektr-RG,StatusActive,"65.0 ",Success
124,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Thu Jul 11, 2019",Vega | Falcon Eye 1,StatusActive,"37.0 ",Failure
125,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Jul 10, 2019",Soyuz 2.1v/Volga | Cosmos 2535 to 2538,StatusActive,,Success
126,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Fri Jul 05, 2019","Soyuz 2.1b/Fregat-M | Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",StatusActive,,Success
127,Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Jun 29, 2019",SARGE | Launch 3,StatusActive,,Partial Failure
128,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jun 29, 2019",Electron/Curie | Make it Rain,StatusActive,"7.5 ",Success
129,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jun 25, 2019",Falcon Heavy | STP-2,StatusActive,"90.0 ",Success
130,CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Jun 24, 2019",Long March 3B/E | Beidou-3 IGSO-2,StatusActive,"29.15 ",Success
131,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jun 20, 2019",Ariane 5 ECA | Eutelsat 7C &  AT&T T-16,StatusActive,"200.0 ",Success
132,SpaceX,"SLC-4E, Vandenberg AFB, California, USA","Wed Jun 12, 2019",Falcon 9 Block 5 | RADARSAT Constellation,StatusActive,"50.0 ",Success
133,CASC,"Tai Rui Barge, Yellow Sea","Wed Jun 05, 2019",Long March 11H | Jilin-1 & Others,StatusActive,"5.3 ",Success
134,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu May 30, 2019",Proton-M/Briz-M | Yamal-601,StatusActive,"65.0 ",Success
135,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon May 27, 2019",Soyuz 2.1b/Fregat-M | Cosmos 2534,StatusActive,,Success
136,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 24, 2019",Falcon 9 Block 5 | Starlink V0.9,StatusActive,"50.0 ",Success
137,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed May 22, 2019",Long March 4C | Yaogan Weixing-33,StatusActive,"64.68 ",Failure
138,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed May 22, 2019",PSLV-CA | RISAT-2B,StatusActive,"21.0 ",Success
139,CASC,"LC-2, Xichang Satellite Launch Center, China","Fri May 17, 2019",Long March 3C/E | Beidou-2 G8,StatusActive,,Success
140,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sun May 05, 2019",Electron/Curie | That's a Funny Looking Cactus,StatusActive,"7.5 ",Success
141,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat May 04, 2019",Falcon 9 Block 5 | CRS-17,StatusActive,"50.0 ",Success
142,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Thu May 02, 2019",New Shepard | NS-11,StatusActive,,Success
143,CASC,"Taiyuan Satellite Launch Center, China","Mon Apr 29, 2019",Long March 4B | Tianhui-2 Group 01,StatusActive,"64.68 ",Success
144,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Apr 20, 2019",Long March 3B/E | Beidou-3 IGSO-1,StatusActive,"29.15 ",Success
145,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Wed Apr 17, 2019",Antares 230 | CRS NG-11,StatusRetired,"85.0 ",Success
146,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Apr 11, 2019",Falcon Heavy | ArabSat 6A,StatusActive,"90.0 ",Success
147,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Thu Apr 04, 2019",Soyuz ST-B/Fregat-MT | O3b FM17-FM20,StatusActive,,Success
148,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 04, 2019",Soyuz 2.1a | Progress MS-11 (72P),StatusActive,"48.5 ",Success
149,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Apr 01, 2019",PSLV-QL | EMISAT & Rideshares,StatusActive,"21.0 ",Success
150,CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Mar 31, 2019",Long March 3B/E | Tianlian-2,StatusActive,"29.15 ",Success
151,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Thu Mar 28, 2019",Electron/Curie | Two Thumbs Up,StatusActive,"7.5 ",Success
152,OneSpace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Mar 27, 2019",OS-M1 | Lingque-1B,StatusActive,,Failure
153,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Fri Mar 22, 2019",Vega | PRISMA,StatusActive,"37.0 ",Success
154,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sat Mar 16, 2019","Delta IV Medium+ (5,4) | WGS-10",StatusRetired,,Success
155,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Mar 14, 2019",Soyuz FG | Soyuz MS-12 (58S),StatusRetired,,Success
156,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Mar 09, 2019",Long March 3B/E | Zhongxing-6C,StatusActive,"29.15 ",Success
157,Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Mar 02, 2019",SARGE | Launch 2,StatusActive,,Partial Failure
158,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 02, 2019",Falcon 9 Block 5 | SpaceX Demo-1,StatusActive,"50.0 ",Success
159,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Feb 27, 2019",Soyuz ST-B/Fregat-M | OneWeb #1,StatusActive,,Success
160,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 22, 2019",Falcon 9 Block 5 | Nusantara Satu & Beresheet,StatusActive,"50.0 ",Success
161,VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 21, 2019",Soyuz 2.1b/Fregat-M | EgyptSat-A,StatusActive,,Success
162,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 05, 2019",Ariane 5 ECA | GSAT-31 & Hellas-Sat-4,StatusActive,"200.0 ",Success
163,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Tue Feb 05, 2019",Safir-1B+ | Dousti,StatusActive,,Failure
164,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Jan 24, 2019",PSLV-DL | Microsat-R,StatusActive,,Success
165,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Jan 23, 2019",New Shepard | NS-10,StatusActive,,Success
166,CASC,"Site 95, Jiuquan Satellite Launch Center, China","Mon Jan 21, 2019",Long March 11 | Jilin-1 Hyperspectral & Others,StatusActive,"5.3 ",Success
167,ULA,"SLC-6, Vandenberg AFB, California, USA","Sat Jan 19, 2019",Delta IV Heavy | NROL-71,StatusActive,"350.0 ",Success
168,JAXA,"Mu Pad, Uchinoura Space Center, Japan","Fri Jan 18, 2019",Epsilon PBS | Innovative Satellite Technology Demonstration-1,StatusActive,"39.0 ",Success
169,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Tue Jan 15, 2019",Simorgh | Payam-e Amirkabir,StatusActive,,Failure
